evaluation_split,variant,selection_scope,evidence_role,file_stem,hardware_source,image_path,label,epsilon_pixel,epsilon_255,alpha_pixel,alpha_255,pgd_steps,pixel_linf,padding_max_abs_error,saved_clean_probability_attack,clean_probability_attack,saved_probability_abs_error,adv_probability_attack,clean_margin,adv_margin,clean_correct,adv_correct,attack_success,A,E_clean,E_adv,delta_E,relative_E_change,mu_w_clean,mu_w_adv,delta_mu_w,relative_mu_w_change,PG_clean,PG_adv,delta_PG,cam_cosine,cam_tv,clean_zero_cam,adv_zero_cam,clean_content_cam_mass,adv_content_cam_mass
dev_val,digital_1,all_attacks,heldout_primary,persian-NM-1035,iphone15pro,train/attack/digital_1/iphone15pro/persian-NM-1035.jpg,1,0.00392156862745098,1.0,0.000980392156862745,0.25,10,0.0039215851575136185,0.0,1.0,0.9998928308486938,0.00010716915130615234,7.58002424845472e-05,9.14093017578125,-9.487333297729492,True,False,True,0.21982373297214508,0.8451984524726868,1.0,0.15480154752731323,0.18315408301379463,3.8448917865753174,4.549099445343018,0.7042076587677002,0.18315409063695517,1.0,1.0,0.0,0.41702234745025635,0.8468873500823975,False,False,36402.05859375,2661.669677734375
dev_val,digital_1,all_attacks,heldout_primary,portugal-NF-1109,iphone15pro,train/attack/digital_1/iphone15pro/portugal-NF-1109.jpg,1,0.00392156862745098,1.0,0.000980392156862745,0.25,10,0.0039215851575136185,0.0,1.0,0.9999991655349731,8.344650268554688e-07,2.0366486808143236e-07,13.990161895751953,-15.406789779663086,True,False,True,0.18605215847492218,0.7916972041130066,0.34149762988090515,-0.45019957423210144,-0.5686512114647307,4.255243301391602,1.835494041442871,-2.4197492599487305,-0.5686512118255129,1.0,1.0,0.0,0.22623825073242188,0.8945664167404175,False,False,33065.7890625,4099.92236328125
dev_val,digital_1,all_attacks,heldout_primary,arabic-120_03,huawei,train/attack/digital_1/huawei/arabic-120_03.jpg,1,0.00392156862745098,1.0,0.000980392156862745,0.25,10,0.0039215851575136185,0.0,1.0,0.9999998807907104,1.1920928955078125e-07,5.048232196713798e-05,16.291847229003906,-9.893836975097656,True,False,True,0.14223414659500122,0.7339920401573181,0.0,-0.7339920401573181,-1.0,5.1604485511779785,0.0,-5.1604485511779785,-1.0,1.0,0.0,-1.0,,,False,True,40049.2890625,0.0
dev_val,digital_1,all_attacks,heldout_primary,chinese-001_03,iphone15pro,train/attack/digital_1/iphone15pro/chinese-001_03.jpg,1,0.00392156862745098,1.0,0.000980392156862745,0.25,10,0.0039215851575136185,0.0,1.0,0.9999179840087891,8.20159912109375e-05,2.14271358345286e-06,9.409313201904297,-13.053435325622559,True,False,True,0.1416015625,0.6885372400283813,0.0,-0.6885372400283813,-1.0,4.862497329711914,0.0,-4.862497329711914,-1.0,1.0,0.0,-1.0,,,False,True,42564.78125,0.0
dev_val,digital_1,all_attacks,heldout_primary,chinese-NM-1092,scan,train/attack/digital_1/scan/chinese-NM-1092.jpg,1,0.00392156862745098,1.0,0.000980392156862745,0.25,10,0.0039215851575136185,0.0,1.0,0.9999853372573853,1.4662742614746094e-05,0.00011664217163342983,11.128219604492188,-9.056282997131348,True,False,True,0.2235330194234848,0.6106332540512085,0.28513169288635254,-0.32550156116485596,-0.5330557400949523,2.731736183166504,1.2755686044692993,-1.4561675786972046,-0.5330557129456336,1.0,1.0,0.0,0.5426675081253052,0.6586624979972839,False,False,40009.3359375,7045.9033203125
dev_val,digital_1,all_attacks,heldout_primary,persian-NF-1097,huawei,train/attack/digital_1/huawei/persian-NF-1097.jpg,1,0.00392156862745098,1.0,0.000980392156862745,0.25,10,0.0039215851575136185,0.0,0.99951171875,0.9993624091148376,0.00014930963516235352,3.876761184073985e-06,7.357115745544434,-12.460506439208984,True,False,True,0.16073372960090637,0.9275352358818054,0.0,-0.9275352358818054,-1.0,5.770631790161133,0.0,-5.770631790161133,-1.0,1.0,0.0,-1.0,,,False,True,26526.13671875,0.0
dev_val,digital_1,all_attacks,heldout_primary,arabic-NF-1048,huawei,train/attack/digital_1/huawei/arabic-NF-1048.jpg,1,0.00392156862745098,1.0,0.000980392156862745,0.25,10,0.0039215851575136185,0.0,1.0,0.9999996423721313,3.5762786865234375e-07,5.953529034741223e-05,14.80477237701416,-9.7288818359375,True,False,True,0.1932384967803955,0.7824844121932983,0.3320022225379944,-0.45048218965530396,-0.5757075574101285,4.049319744110107,1.7180957794189453,-2.331223964691162,-0.5757075538630946,1.0,1.0,0.0,0.25806570053100586,0.9041169881820679,False,False,37287.12109375,3962.900390625
dev_val,digital_1,all_attacks,heldout_primary,indian-014_03,huawei,train/attack/digital_1/huawei/indian-014_03.jpg,1,0.00392156862745098,1.0,0.000980392156862745,0.25,10,0.0039215851575136185,0.0,0.99951171875,0.9995213747024536,9.655952453613281e-06,1.3171624004826299e-06,7.644143104553223,-13.540029525756836,True,False,True,0.11545508354902267,0.5120790004730225,0.0,-0.5120790004730225,-1.0,4.435309410095215,0.0,-4.435309410095215,-1.0,1.0,0.0,-1.0,,,False,True,35114.2265625,0.0
dev_val,digital_1,all_attacks,heldout_primary,persian-NM-1035,scan,train/attack/digital_1/scan/persian-NM-1035.jpg,1,0.00392156862745098,1.0,0.000980392156862745,0.25,10,0.0039215851575136185,0.0,0.99951171875,0.9995788931846619,6.717443466186523e-05,0.00012975165736861527,7.772061347961426,-8.949758529663086,True,False,True,0.22207435965538025,0.937383770942688,0.0,-0.937383770942688,-1.0,4.221035480499268,0.0,-4.221035480499268,-1.0,1.0,0.0,-1.0,,,False,True,26017.0,0.0
dev_val,digital_1,all_attacks,heldout_primary,usa-034_03,huawei,train/attack/digital_1/huawei/usa-034_03.jpg,1,0.00392156862745098,1.0,0.000980392156862745,0.25,10,0.0039215851575136185,0.0,1.0,0.9999996423721313,3.5762786865234375e-07,9.153442448450733e-08,14.7531099319458,-16.20655059814453,True,False,True,0.1514929234981537,0.7160604000091553,0.3073190450668335,-0.4087413549423218,-0.570819661214467,4.726691722869873,2.0286033153533936,-2.6980884075164795,-0.5708196272800926,1.0,0.0,-1.0,0.16148659586906433,0.9190449714660645,False,False,37979.5,1389.1181640625
dev_val,digital_1,all_attacks,heldout_primary,chinese-142_03,iphone15pro,train/attack/digital_1/iphone15pro/chinese-142_03.jpg,1,0.00392156862745098,1.0,0.000980392156862745,0.25,10,0.0039215851575136185,0.0,1.0,0.9999995231628418,4.76837158203125e-07,4.483098692276144e-08,14.474899291992188,-16.920366287231445,True,False,True,0.1391281634569168,0.6911889910697937,0.0,-0.6911889910697937,-1.0,4.968001842498779,0.0,-4.968001842498779,-1.0,1.0,0.0,-1.0,,,False,True,36890.8984375,0.0
dev_val,digital_1,all_attacks,heldout_primary,russian-NF-1099,iphone15pro,train/attack/digital_1/iphone15pro/russian-NF-1099.jpg,1,0.00392156862745098,1.0,0.000980392156862745,0.25,10,0.0039215851575136185,0.0,1.0,0.9999998807907104,1.1920928955078125e-07,1.9122948913263826e-07,16.288005828857422,-15.469791412353516,True,False,True,0.2423422485589981,0.9303931593894958,0.0,-0.9303931593894958,-1.0,3.839170217514038,0.0,-3.839170217514038,-1.0,1.0,0.0,-1.0,,,False,True,35368.51953125,0.0
dev_val,digital_1,all_attacks,heldout_primary,arabic-NM-1090,scan,train/attack/digital_1/scan/arabic-NM-1090.jpg,1,0.00392156862745098,1.0,0.000980392156862745,0.25,10,0.0039215851575136185,0.0,1.0,0.9999877214431763,1.2278556823730469e-05,0.0002628029906190932,11.3095703125,-8.243843078613281,True,False,True,0.2252189815044403,0.808428943157196,0.3398585617542267,-0.46857038140296936,-0.5796061427155726,3.589524030685425,1.5090138912200928,-2.080510139465332,-0.5796061320887872,1.0,1.0,0.0,0.2487637996673584,0.8839179277420044,False,False,35352.6796875,4531.8408203125
dev_val,digital_1,all_attacks,heldout_primary,portugal-119_03,scan,train/attack/digital_1/scan/portugal-119_03.jpg,1,0.00392156862745098,1.0,0.000980392156862745,0.25,10,0.0039215851575136185,0.0,1.0,0.9999998807907104,1.1920928955078125e-07,1.492770024924539e-05,15.864343643188477,-11.112277030944824,True,False,True,0.13708451390266418,0.750409722328186,0.4120485186576843,-0.3383612036705017,-0.4509019454341797,5.474066257476807,3.0057992935180664,-2.4682669639587402,-0.4509019160276757,1.0,1.0,0.0,0.13600283861160278,0.9086579084396362,False,False,34057.453125,3328.83642578125
dev_val,digital_1,all_attacks,heldout_primary,usa-NM-1038,huawei,train/attack/digital_1/huawei/usa-NM-1038.jpg,1,0.00392156862745098,1.0,0.000980392156862745,0.25,10,0.0039215851575136185,0.0,0.9912109375,0.9910842180252075,0.00012671947479248047,1.827251139729924e-06,4.7109785079956055,-13.212696075439453,True,False,True,0.1865978240966797,0.37384283542633057,0.3558436632156372,-0.01799917221069336,-0.0481463612648002,2.0034682750701904,1.9070085287094116,-0.09645974636077881,-0.048146380734378935,1.0,1.0,0.0,0.815309464931488,0.5383526086807251,False,False,19010.818359375,6635.55712890625
dev_val,digital_1,all_attacks,heldout_primary,usa-NM-1038,iphone15pro,train/attack/digital_1/iphone15pro/usa-NM-1038.jpg,1,0.00392156862745098,1.0,0.000980392156862745,0.25,10,0.0039215851575136185,0.0,1.0,0.9999761581420898,2.384185791015625e-05,0.00030760347726754844,10.641637802124023,-8.08639144897461,True,False,True,0.1938086599111557,0.5491321682929993,0.2737857699394226,-0.27534639835357666,-0.5014209952578496,2.8333725929260254,1.4126601219177246,-1.4207124710083008,-0.5014209830910837,1.0,1.0,0.0,0.7599047422409058,0.536141037940979,False,False,34605.05078125,11414.947265625
dev_val,digital_1,all_attacks,heldout_primary,turkiye-115_03,scan,train/attack/digital_1/scan/turkiye-115_03.jpg,1,0.00392156862745098,1.0,0.000980392156862745,0.25,10,0.0039215851575136185,0.0,1.0,0.9999967813491821,3.2186508178710938e-06,2.285938899149187e-05,12.632625579833984,-10.686125755310059,True,False,True,0.10281773656606674,0.6269314885139465,0.26535651087760925,-0.3615749776363373,-0.5767376248613708,6.097503185272217,2.580843687057495,-3.5166594982147217,-0.5767376238045744,1.0,1.0,0.0,0.25406786799430847,0.8760172128677368,False,False,36112.88671875,5003.28173828125
dev_val,digital_1,all_attacks,heldout_primary,turkiye-032_03,huawei,train/attack/digital_1/huawei/turkiye-032_03.jpg,1,0.00392156862745098,1.0,0.000980392156862745,0.25,10,0.0039215851575136185,0.0,1.0,1.0,0.0,5.826655979035422e-06,20.09621238708496,-12.053061485290527,True,False,True,0.11345386505126953,0.6826797723770142,0.1282811164855957,-0.5543986558914185,-0.8120918157001558,6.017245769500732,1.1306897401809692,-4.886556029319763,-0.8120918135150751,1.0,0.0,-1.0,0.08990617096424103,0.9462765455245972,False,False,38242.3203125,2068.626708984375
dev_val,digital_1,all_attacks,heldout_primary,french-124_03,huawei,train/attack/digital_1/huawei/french-124_03.jpg,1,0.00392156862745098,1.0,0.000980392156862745,0.25,10,0.0039215851575136185,0.0,1.0,0.9999998807907104,1.1920928955078125e-07,7.525181189294017e-08,15.778553009033203,-16.40242576599121,True,False,True,0.1266992837190628,0.5885551571846008,0.3916263282299042,-0.19692882895469666,-0.33459706630848496,4.645291805267334,3.0909907817840576,-1.5543010234832764,-0.33459706917030313,1.0,1.0,0.0,0.34358012676239014,0.8800257444381714,False,False,53454.2109375,2869.220703125
dev_val,digital_1,all_attacks,heldout_primary,russian-NF-1099,huawei,train/attack/digital_1/huawei/russian-NF-1099.jpg,1,0.00392156862745098,1.0,0.000980392156862745,0.25,10,0.0039215851575136185,0.0,1.0,0.999996542930603,3.4570693969726562e-06,2.5562105321341733e-08,12.590530395507812,-17.482154846191406,True,False,True,0.2476102113723755,0.9400976300239563,0.0,-0.9400976300239563,-1.0,3.7966835498809814,0.0,-3.7966835498809814,-1.0,1.0,0.0,-1.0,,,False,True,32164.7421875,0.0
dev_val,digital_1,all_attacks,heldout_primary,arabic-NM-1090,iphone15pro,train/attack/digital_1/iphone15pro/arabic-NM-1090.jpg,1,0.00392156862745098,1.0,0.000980392156862745,0.25,10,0.0039215851575136185,0.0,1.0,0.9999910593032837,8.940696716308594e-06,0.00023860290821176022,11.62729263305664,-8.340471267700195,True,False,True,0.19044309854507446,0.8141336441040039,0.0,-0.8141336441040039,-1.0,4.274944305419922,0.0,-4.274944305419922,-1.0,1.0,0.0,-1.0,,,False,True,34585.20703125,0.0
dev_val,digital_1,all_attacks,heldout_primary,usa-067_03,iphone15pro,train/attack/digital_1/iphone15pro/usa-067_03.jpg,1,0.00392156862745098,1.0,0.000980392156862745,0.25,10,0.0039215851575136185,0.0,1.0,0.9999997615814209,2.384185791015625e-07,0.00020645141194108874,15.327251434326172,-8.485239028930664,True,False,True,0.142734095454216,0.6739467978477478,0.35830163955688477,-0.31564515829086304,-0.46835322802760887,4.721694469451904,2.5102736949920654,-2.211420774459839,-0.4683532127644297,1.0,1.0,0.0,0.23603636026382446,0.8632104396820068,False,False,39933.4375,2631.89501953125
