eval_split,group,scope,n_images,n_stems,mean_A,median_A,mean_A_ci_low,mean_A_ci_high,mean_E,median_E,mean_E_ci_low,mean_E_ci_high,mean_mu_w,median_mu_w,mean_mu_w_ci_low,mean_mu_w_ci_high,mean_PG,median_PG,mean_PG_ci_low,mean_PG_ci_high,mean_E_minus_A,median_E_minus_A,mean_E_minus_A_ci_low,mean_E_minus_A_ci_high
dev_val,all_attacks,union,306,51,0.12392116920322263,0.11237196494098185,0.1126535345922489,0.13521691904392288,0.3715150263853547,0.3234330042841151,0.35359981668749907,0.39079620266662973,2.9904649869008355,2.467083320282769,2.7864257352982804,3.2001265514459365,0.7450980392156863,1.0,0.7124183006535948,0.7777777777777778,0.2475938571821321,0.19024444748189887,0.23237491526710116,0.26307975141990136
dev_val,all_attacks,face,306,51,0.10830661761496513,0.09431894997338908,0.09736851398093435,0.12005904960280485,0.25795140353384666,0.1873994105965559,0.23774408232847496,0.27804426525795617,2.4610198001457286,2.002186387916871,2.2741153027472034,2.6706029778460194,0.06209150326797386,0.0,0.03594771241830065,0.0915032679738562,0.14964478591888145,0.08313300814930846,0.13416878184205588,0.16472800934049597
dev_val,all_attacks,text,306,51,0.015648996640894707,0.015248739329643523,0.014634741179355194,0.01665684744946313,0.11378822306399258,0.05303926069183823,0.10010673241993562,0.12954349644006538,7.3453494056634066,3.3946239202365254,6.520627188266712,8.252813606780363,0.6862745098039216,1.0,0.6568627450980392,0.7156862745098039,0.09813922642309789,0.03663114851167178,0.08469596630929528,0.11314451136426132
dev_val,digital_1,union,153,51,0.15694321551661647,0.14195056106992204,0.14323276797758752,0.17193373369984724,0.5552213009988894,0.5502557768924377,0.5331923056993035,0.5784444313430412,3.9049165087071005,3.5293069305592906,3.5608739402147225,4.253897485391502,1.0,1.0,1.0,1.0,0.398278085482273,0.39103721077883175,0.37297614865291107,0.42275967425463296
dev_val,digital_1,face,153,51,0.14111241226290913,0.12836601036947834,0.12689505756324507,0.1561429885288408,0.35893838138032524,0.34831450330575076,0.332286076427605,0.3857519077913942,2.8301459761143057,2.3993291196784465,2.5455070187777302,3.1505346183743406,0.006535947712418301,0.0,0.0,0.0196078431372549,0.21782596911741606,0.22016098514666876,0.1937647918925224,0.24227838407059615
dev_val,digital_1,text,153,51,0.015897696791236194,0.015403087478559176,0.01481963549493311,0.017000948702734893,0.19672923774115067,0.13894930306451167,0.1720093668018936,0.2237987280452392,12.710208296255065,9.342612984740368,11.102855832260678,14.459218892004378,1.0,1.0,1.0,1.0,0.1808315409499145,0.1228664381228483,0.15564855299981292,0.2078650364173548
dev_val,digital_2,union,153,51,0.09089912288982883,0.08257875751503006,0.08278102672687292,0.09989817802632117,0.18780875177182,0.1534058839553822,0.16800720402677252,0.20892549637023805,2.0760134650945705,1.7693914458657827,1.9352830370808176,2.223611208247809,0.49019607843137253,0.0,0.42483660130718953,0.5555555555555556,0.09690962888199114,0.06555770668192024,0.08237050999441334,0.112571576132398
dev_val,digital_2,face,153,51,0.07550082296702115,0.06832614644131085,0.0675166787330239,0.08424311055776014,0.15696442568736801,0.1256767229894518,0.1383832952538175,0.17710926819537354,2.091893624177152,1.7760384914186709,1.9402936833151603,2.2489003355053496,0.11764705882352941,0.0,0.0718954248366013,0.16993464052287582,0.08146360272034683,0.05453121620027222,0.06812827921172371,0.09595914529437208
dev_val,digital_2,text,153,51,0.015400296490553215,0.015093955035116778,0.014429477057489547,0.01640757877596848,0.030847208386834524,0.02403604574442459,0.027374107988417294,0.03453056511779076,1.9804905150717482,1.6321103047813303,1.8292523219925145,2.148705067461275,0.37254901960784315,0.0,0.3137254901960784,0.43137254901960786,0.015446911896281307,0.008300591138838668,0.012664844363811613,0.018584714641711228
official_test,all_attacks,union,1085,362,0.03538264217451684,0.03013912318977101,0.033993690103574725,0.03677188883844576,0.5766079681822815,0.6525717441321255,0.5579809036254223,0.5950772802795053,19.449817361907463,19.807753535323446,18.544340340131754,20.30986797901574,0.9142857142857143,1.0,0.8948315206836279,0.9343838030570693,0.5412253260077646,0.6201696026488398,0.5218973781902233,0.5602821439266579
