eval_split,image_path,cache_path,file_stem,traffic_type,variant,hardware_source,label,assigned_q,cache_sha256,cache_sha256_runtime,trufor_score,native_height,native_width,map_min,map_max,map_mean,map_path,inference_status,condition,preprocessing,checkpoint_sha256
dev_val,train/attack/digital_1/huawei/arabic-024_03.jpg,data/processed/policy_c/train/attack/digital_1/huawei/arabic-024_03.jpg,arabic-024_03,attack,digital_1,huawei,1,78,d6244c86213948babbee7a878093d3f4565ea1ef27d6d0293675501fe42bd303,d6244c86213948babbee7a878093d3f4565ea1ef27d6d0293675501fe42bd303,0.9850807785987854,1971,3211,0.0007255666423588991,0.9999749660491943,0.16131919622421265,output/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_1/huawei/arabic-024_03.jpg.npz,resumed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844
dev_val,train/attack/digital_1/iphone15pro/arabic-024_03.jpg,data/processed/policy_c/train/attack/digital_1/iphone15pro/arabic-024_03.jpg,arabic-024_03,attack,digital_1,iphone15pro,1,79,4eb4ec909bcd54efea853cc039e985cac2fa20108ec35ba2993b9c3cdbe39145,4eb4ec909bcd54efea853cc039e985cac2fa20108ec35ba2993b9c3cdbe39145,0.9958873391151428,1748,2769,0.00014080278924666345,0.9999765157699585,0.08032729476690292,output/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_1/iphone15pro/arabic-024_03.jpg.npz,resumed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844
dev_val,train/attack/digital_1/scan/arabic-024_03.jpg,data/processed/policy_c/train/attack/digital_1/scan/arabic-024_03.jpg,arabic-024_03,attack,digital_1,scan,1,74,3bcc52222c9d6d4db09a1d8d23b1b6eb27d6dcafd54adaad288c2d9c18a0e042,3bcc52222c9d6d4db09a1d8d23b1b6eb27d6dcafd54adaad288c2d9c18a0e042,0.9986510872840881,1244,2003,5.14404964633286e-05,0.9999761581420898,0.04109624773263931,output/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_1/scan/arabic-024_03.jpg.npz,resumed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844
dev_val,train/attack/digital_2/huawei/arabic-024_03.jpg,data/processed/policy_c/train/attack/digital_2/huawei/arabic-024_03.jpg,arabic-024_03,attack,digital_2,huawei,1,78,c5bd1dc664dffd0e58f045f9e39509d40811e49e0e7ad51e4224dbe898ecda61,c5bd1dc664dffd0e58f045f9e39509d40811e49e0e7ad51e4224dbe898ecda61,0.756030797958374,1971,3211,0.07009071856737137,0.9684345126152039,0.8567407131195068,output/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_2/huawei/arabic-024_03.jpg.npz,resumed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844
dev_val,train/attack/digital_2/iphone15pro/arabic-024_03.jpg,data/processed/policy_c/train/attack/digital_2/iphone15pro/arabic-024_03.jpg,arabic-024_03,attack,digital_2,iphone15pro,1,79,d3e93e8c914612f6790b619fd5369c95842b325462cb353ced245c8493e525bb,d3e93e8c914612f6790b619fd5369c95842b325462cb353ced245c8493e525bb,0.6166219115257263,1748,2769,0.017636926844716072,0.9852603673934937,0.3404908776283264,output/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_2/iphone15pro/arabic-024_03.jpg.npz,resumed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844
dev_val,train/attack/digital_2/scan/arabic-024_03.jpg,data/processed/policy_c/train/attack/digital_2/scan/arabic-024_03.jpg,arabic-024_03,attack,digital_2,scan,1,74,8ed519135a20e3b95f31578fa1742ee674f8482ef8ab76fb83d7ef6933b1afdd,8ed519135a20e3b95f31578fa1742ee674f8482ef8ab76fb83d7ef6933b1afdd,0.7569901347160339,1244,2003,0.0014756718883290887,0.9899951219558716,0.09090732038021088,output/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_2/scan/arabic-024_03.jpg.npz,resumed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844
dev_val,train/bonafide/huawei/arabic-024_03.jpg,data/processed/policy_c/train/bonafide/huawei/arabic-024_03.jpg,arabic-024_03,bonafide,,huawei,0,78,6a6bc925fd180ffdc52cbd2b9ff6b175552b3b1c9a79dc2a1b934b38e23727be,6a6bc925fd180ffdc52cbd2b9ff6b175552b3b1c9a79dc2a1b934b38e23727be,0.8291121125221252,1971,3211,0.26658400893211365,0.9777646660804749,0.9087907671928406,output/trufor_pretrained_policy_c_native/maps/dev_val/train/bonafide/huawei/arabic-024_03.jpg.npz,resumed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844
dev_val,train/bonafide/iphone15pro/arabic-024_03.jpg,data/processed/policy_c/train/bonafide/iphone15pro/arabic-024_03.jpg,arabic-024_03,bonafide,,iphone15pro,0,79,aa3bf197babc86925f337c0af2cb314031b745afe2b68ceeaf064575164507c3,aa3bf197babc86925f337c0af2cb314031b745afe2b68ceeaf064575164507c3,0.5766599178314209,1748,2769,0.022089894860982895,0.9760337471961975,0.21155929565429688,output/trufor_pretrained_policy_c_native/maps/dev_val/train/bonafide/iphone15pro/arabic-024_03.jpg.npz,resumed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844
dev_val,train/bonafide/scan/arabic-024_03.jpg,data/processed/policy_c/train/bonafide/scan/arabic-024_03.jpg,arabic-024_03,bonafide,,scan,0,74,01bf0d1afca29a697acd2f0893b1d4420c87793e6c968b2375b1ac0e009bf89e,01bf0d1afca29a697acd2f0893b1d4420c87793e6c968b2375b1ac0e009bf89e,0.7962162494659424,1244,2003,0.0008107603644020855,0.9916399717330933,0.058011580258607864,output/trufor_pretrained_policy_c_native/maps/dev_val/train/bonafide/scan/arabic-024_03.jpg.npz,resumed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844
dev_val,train/attack/digital_1/huawei/arabic-120_03.jpg,data/processed/policy_c/train/attack/digital_1/huawei/arabic-120_03.jpg,arabic-120_03,attack,digital_1,huawei,1,67,c673dae75af37c38253e3175a00144cab5d500bc841f4229e3fc1e8365701777,c673dae75af37c38253e3175a00144cab5d500bc841f4229e3fc1e8365701777,0.9735600352287292,1964,3181,0.000361794198397547,0.9998363256454468,0.15220977365970612,output/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_1/huawei/arabic-120_03.jpg.npz,resumed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844
dev_val,train/attack/digital_1/iphone15pro/arabic-120_03.jpg,data/processed/policy_c/train/attack/digital_1/iphone15pro/arabic-120_03.jpg,arabic-120_03,attack,digital_1,iphone15pro,1,65,93c4f9ac518593b4002c0da3214ee6ca5f5e7d6ba9029d7c1dc44f6ec2556e78,93c4f9ac518593b4002c0da3214ee6ca5f5e7d6ba9029d7c1dc44f6ec2556e78,0.9960075616836548,1737,2768,8.744160004425794e-05,0.9999560117721558,0.07302016764879227,output/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_1/iphone15pro/arabic-120_03.jpg.npz,resumed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844
dev_val,train/attack/digital_1/scan/arabic-120_03.jpg,data/processed/policy_c/train/attack/digital_1/scan/arabic-120_03.jpg,arabic-120_03,attack,digital_1,scan,1,65,8710dfbf6cac440a26ec1de00c536e287a9fcd4a937444e787f29250080c1777,8710dfbf6cac440a26ec1de00c536e287a9fcd4a937444e787f29250080c1777,0.9858956933021545,1249,1992,0.00035683729220181704,0.999943733215332,0.051977965980768204,output/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_1/scan/arabic-120_03.jpg.npz,resumed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844
dev_val,train/attack/digital_2/huawei/arabic-120_03.jpg,data/processed/policy_c/train/attack/digital_2/huawei/arabic-120_03.jpg,arabic-120_03,attack,digital_2,huawei,1,67,8637d1e95e77be08b2c3dd9ff684f1263eb64185ad71b4007ce1ed59e7c68e59,8637d1e95e77be08b2c3dd9ff684f1263eb64185ad71b4007ce1ed59e7c68e59,0.7591396570205688,1964,3181,0.0016807479551061988,0.9976297616958618,0.19466552138328552,output/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_2/huawei/arabic-120_03.jpg.npz,resumed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844
dev_val,train/attack/digital_2/iphone15pro/arabic-120_03.jpg,data/processed/policy_c/train/attack/digital_2/iphone15pro/arabic-120_03.jpg,arabic-120_03,attack,digital_2,iphone15pro,1,65,c66107f08b4fe27ab6ce02a0f3a72cbfa3eb5f41f7df58336c2344ba5178fb39,c66107f08b4fe27ab6ce02a0f3a72cbfa3eb5f41f7df58336c2344ba5178fb39,0.5856477618217468,1737,2768,0.005692758597433567,0.99595046043396,0.14311747252941132,output/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_2/iphone15pro/arabic-120_03.jpg.npz,resumed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844
dev_val,train/attack/digital_2/scan/arabic-120_03.jpg,data/processed/policy_c/train/attack/digital_2/scan/arabic-120_03.jpg,arabic-120_03,attack,digital_2,scan,1,65,d50496cd7c724743a0a7b6c06f00b27e7141d6ae93e93ef018d3197626308567,d50496cd7c724743a0a7b6c06f00b27e7141d6ae93e93ef018d3197626308567,0.646874725818634,1249,1992,0.0036109641660004854,0.9933226704597473,0.09961606562137604,output/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_2/scan/arabic-120_03.jpg.npz,resumed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844
dev_val,train/bonafide/huawei/arabic-120_03.jpg,data/processed/policy_c/train/bonafide/huawei/arabic-120_03.jpg,arabic-120_03,bonafide,,huawei,0,67,921aea4ad2ebc7ab7980776689d99ab55a3cb38ef47bb75a4dac1750d901220b,921aea4ad2ebc7ab7980776689d99ab55a3cb38ef47bb75a4dac1750d901220b,0.6985123753547668,1964,3181,0.002360606100410223,0.9970593452453613,0.16069455444812775,output/trufor_pretrained_policy_c_native/maps/dev_val/train/bonafide/huawei/arabic-120_03.jpg.npz,resumed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844
dev_val,train/bonafide/iphone15pro/arabic-120_03.jpg,data/processed/policy_c/train/bonafide/iphone15pro/arabic-120_03.jpg,arabic-120_03,bonafide,,iphone15pro,0,65,874b0f849d8474c2ee4dcd027377e0f2fe7434b7d1840c491ce581041fcf18f1,874b0f849d8474c2ee4dcd027377e0f2fe7434b7d1840c491ce581041fcf18f1,0.3523324429988861,1737,2768,0.0017860024236142635,0.9891542792320251,0.06310993432998657,output/trufor_pretrained_policy_c_native/maps/dev_val/train/bonafide/iphone15pro/arabic-120_03.jpg.npz,resumed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844
dev_val,train/bonafide/scan/arabic-120_03.jpg,data/processed/policy_c/train/bonafide/scan/arabic-120_03.jpg,arabic-120_03,bonafide,,scan,0,65,7949f5704996bb94ac8db4a9edab6d859682fd6c205a02a78e467d5036a4ae28,7949f5704996bb94ac8db4a9edab6d859682fd6c205a02a78e467d5036a4ae28,0.599531352519989,1249,1992,0.003693605773150921,0.9945291876792908,0.10433819890022278,output/trufor_pretrained_policy_c_native/maps/dev_val/train/bonafide/scan/arabic-120_03.jpg.npz,resumed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844
