evaluation_split,variant,file_stem,hardware_source,image_path,saved_clean_probability_attack,clean_probability_attack,saved_probability_abs_error,adv_probability_attack,clean_margin,adv_margin,classification_preserved,epsilon_255,alpha_255,steps,pixel_linf,padding_max_abs_error,accepted_steps,boundary_pullbacks,objective_E_initial,objective_E_final,A,E_clean,E_adv,absolute_E_degradation,relative_E_degradation,E_strictly_improved,mu_w_clean,mu_w_adv,absolute_mu_w_degradation,relative_mu_w_degradation,PG_clean,PG_adv,absolute_PG_degradation,cam_cosine,cam_tv,clean_zero_cam,adv_zero_cam,cam_change_defined,clean_overlay_path,adv_overlay_path,paired_visual_path,clean_contour_threshold,adv_contour_threshold,clean_contour_area,adv_contour_area
dev_val,digital_1,arabic-024_03,huawei,train/attack/digital_1/huawei/arabic-024_03.jpg,1.0,0.9999886751174927,1.1324882507324219e-05,0.997260332107544,11.391756057739258,5.897192001342773,True,1.0,0.25,10,0.0039215851575136185,0.0,10,0,0.5305448770523071,0.04405762627720833,0.11472618579864502,0.5305448770523071,0.04405761882662773,0.4864872582256794,0.9169577905050923,True,4.624444484710693,0.38402408361434937,4.240420401096344,0.9169577913879154,1.0,0.0,1.0,0.21409444510936737,0.8097511529922485,False,False,True,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/huawei/arabic-024_03__c059abb9__clean_overlay.png,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/huawei/arabic-024_03__c059abb9__adv_overlay.png,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/huawei/arabic-024_03__c059abb9__paired.png,0.5535354614257812,0.5754371285438538,0.04520524205635491,0.03717026378896882
dev_val,digital_1,arabic-024_03,iphone15pro,train/attack/digital_1/iphone15pro/arabic-024_03.jpg,1.0,0.9997957348823547,0.00020426511764526367,0.8690099716186523,8.496027946472168,1.8922333717346191,True,1.0,0.25,10,0.0039215851575136185,0.0,10,0,0.5389240980148315,0.020818646997213364,0.10770123451948166,0.5389240384101868,0.020818646997213364,0.5181053914129734,0.9613699788589355,True,5.003879547119141,0.19329997897148132,4.810579568147659,0.9613699776041233,1.0,0.0,1.0,0.09301531314849854,0.8835716247558594,False,False,True,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/iphone15pro/arabic-024_03__8a15bc35__clean_overlay.png,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/iphone15pro/arabic-024_03__8a15bc35__adv_overlay.png,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/iphone15pro/arabic-024_03__8a15bc35__paired.png,0.6198269128799438,0.4308205842971802,0.04414399660912454,0.028853749229346484
dev_val,digital_1,arabic-024_03,scan,train/attack/digital_1/scan/arabic-024_03.jpg,1.0,0.9999992847442627,7.152557373046875e-07,0.9985536932945251,14.128520011901855,6.537261962890625,True,1.0,0.25,10,0.003921577241271734,0.0,4,0,0.6589217782020569,0.2198769599199295,0.11709031462669373,0.6589217782020569,0.2198769748210907,0.4390448033809662,0.6663079259255172,True,5.627466201782227,1.8778407573699951,3.7496254444122314,0.6663079457011611,1.0,1.0,0.0,0.31794729828834534,0.7641154527664185,False,False,True,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/scan/arabic-024_03__79b9e607__clean_overlay.png,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/scan/arabic-024_03__79b9e607__adv_overlay.png,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/scan/arabic-024_03__79b9e607__paired.png,0.6884159445762634,0.46224626898765564,0.039079092081310676,0.028763558100728157
dev_val,digital_1,arabic-120_03,huawei,train/attack/digital_1/huawei/arabic-120_03.jpg,1.0,0.9999998807907104,1.1920928955078125e-07,0.9999709129333496,16.28217315673828,10.44359016418457,True,1.0,0.25,10,0.0029412410221993923,0.0,3,0,0.7339490652084351,0.18863457441329956,0.14223414659500122,0.7339490652084351,0.18863458931446075,0.5453144758939743,0.7429868116789682,True,5.160146713256836,1.326225757598877,3.833920955657959,0.7429868119463163,1.0,1.0,0.0,0.33607494831085205,0.7122533321380615,False,False,True,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/huawei/arabic-120_03__0276e20a__clean_overlay.png,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/huawei/arabic-120_03__0276e20a__adv_overlay.png,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/huawei/arabic-120_03__0276e20a__paired.png,0.606944739818573,0.46054667234420776,0.042784981905910735,0.04559804734620024
dev_val,digital_1,arabic-120_03,iphone15pro,train/attack/digital_1/iphone15pro/arabic-120_03.jpg,1.0,0.9999998807907104,1.1920928955078125e-07,0.9860718846321106,16.367679595947266,4.259821891784668,True,1.0,0.25,10,0.0039215851575136185,0.0,10,0,0.6574225425720215,0.06102262809872627,0.13355688750743866,0.6574224829673767,0.06102262809872627,0.5963998548686504,0.9071789759557791,True,4.922415256500244,0.4569036364555359,4.465511620044708,0.9071789736040298,1.0,0.0,1.0,0.1859990954399109,0.7767319679260254,False,False,True,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/iphone15pro/arabic-120_03__e1549485__clean_overlay.png,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/iphone15pro/arabic-120_03__e1549485__adv_overlay.png,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/iphone15pro/arabic-120_03__e1549485__paired.png,0.6537503600120544,0.6192613840103149,0.04313869102328431,0.041422526041666664
dev_val,digital_1,arabic-120_03,scan,train/attack/digital_1/scan/arabic-120_03.jpg,1.0,0.9999862909317017,1.3709068298339844e-05,0.9883429408073425,11.197652816772461,4.440113067626953,True,1.0,0.25,10,0.0029412410221993923,0.0,3,0,0.7997737526893616,0.1508999764919281,0.15913067758083344,0.7997736930847168,0.1508999615907669,0.6488737314939499,0.8113216739991188,True,5.025892734527588,0.9482769966125488,4.077615737915039,0.8113216802065947,1.0,1.0,0.0,0.24876564741134644,0.8308537006378174,False,False,True,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/scan/arabic-120_03__5f783b19__clean_overlay.png,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/scan/arabic-120_03__5f783b19__adv_overlay.png,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/scan/arabic-120_03__5f783b19__paired.png,0.62451171875,0.37450483441352844,0.03415219553243574,0.035373795134638925
dev_val,digital_1,arabic-NF-1048,huawei,train/attack/digital_1/huawei/arabic-NF-1048.jpg,1.0,0.9999996423721313,3.5762786865234375e-07,0.9833086133003235,14.801379203796387,4.0760321617126465,True,1.0,0.25,10,0.0039215851575136185,0.0,7,0,0.7823598980903625,0.11830217391252518,0.1932384967803955,0.7823599576950073,0.11830216646194458,0.6640577912330627,0.8487880606639341,True,4.048675537109375,0.6122080683708191,3.436467468738556,0.8487880634643505,1.0,1.0,0.0,0.2632678151130676,0.7786992192268372,False,False,True,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/huawei/arabic-NF-1048__10943072__clean_overlay.png,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/huawei/arabic-NF-1048__10943072__adv_overlay.png,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/huawei/arabic-NF-1048__10943072__paired.png,0.5561544895172119,0.4778147339820862,0.03962426046723301,0.03091815837378641
dev_val,digital_1,arabic-NF-1048,iphone15pro,train/attack/digital_1/iphone15pro/arabic-NF-1048.jpg,1.0,0.9999996423721313,3.5762786865234375e-07,0.9987677335739136,14.777191162109375,6.697606086730957,True,1.0,0.25,10,0.0039215851575136185,0.0,5,0,0.8640734553337097,0.17078661918640137,0.20606283843517303,0.8640733361244202,0.17078661918640137,0.6932867169380188,0.8023470786028174,True,4.193251609802246,0.8288084268569946,3.3644431829452515,0.8023470795504968,1.0,1.0,0.0,0.17066499590873718,0.84892737865448,False,False,True,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/iphone15pro/arabic-NF-1048__b270f8c9__clean_overlay.png,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/iphone15pro/arabic-NF-1048__b270f8c9__adv_overlay.png,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/iphone15pro/arabic-NF-1048__b270f8c9__paired.png,0.47742384672164917,0.5057245492935181,0.04124143325387366,0.039691038438617404
dev_val,digital_1,arabic-NF-1048,scan,train/attack/digital_1/scan/arabic-NF-1048.jpg,1.0,1.0,0.0,0.9725887179374695,16.681827545166016,3.5690054893493652,True,1.0,0.25,10,0.0039215851575136185,0.0,6,0,0.8567985892295837,0.20683205127716064,0.2055954784154892,0.8567985892295837,0.20683209598064423,0.6499664932489395,0.7585989302729553,True,4.167399883270264,1.0060148239135742,3.1613850593566895,0.7585989220875706,1.0,1.0,0.0,0.22499531507492065,0.8619425296783447,False,False,True,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/scan/arabic-NF-1048__f425baf8__clean_overlay.png,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/scan/arabic-NF-1048__f425baf8__adv_overlay.png,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/scan/arabic-NF-1048__f425baf8__paired.png,0.5346018671989441,0.5412503480911255,0.03462940461725395,0.01980653857837181
dev_val,digital_1,arabic-NF-1098,huawei,train/attack/digital_1/huawei/arabic-NF-1098.jpg,1.0,0.9999996423721313,3.5762786865234375e-07,0.9924607872962952,14.955587387084961,4.8800764083862305,True,1.0,0.25,10,0.0039215851575136185,0.0,6,0,0.8332381248474121,0.1710379719734192,0.20522086322307587,0.8332382440567017,0.171037957072258,0.6622002869844437,0.7947310288597136,True,4.060202598571777,0.8334335684776306,3.2267690300941467,0.7947310390937633,1.0,1.0,0.0,0.25000709295272827,0.830464780330658,False,False,True,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/huawei/arabic-NF-1098__795dc6e7__clean_overlay.png,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/huawei/arabic-NF-1098__795dc6e7__adv_overlay.png,output/resnet18_localisation_attack_preserve_cls_full/visuals/dev_val/digital_1/huawei/arabic-NF-1098__795dc6e7__paired.png,0.553375780582428,0.32348740100860596,0.04308769792935445,0.03023894260048721
