image_path,cache_path,map_path,eval_split,variant,hardware_source,file_stem,trufor_score,clean_prediction,clean_correct,native_height,native_width,A_union,E_union,mu_union,PG_union,A_face,E_face,mu_face,PG_face,A_text,E_text,mu_text,PG_text
train/attack/digital_1/huawei/arabic-024_03.jpg,data/processed/policy_c/train/attack/digital_1/huawei/arabic-024_03.jpg,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_1/huawei/arabic-024_03.jpg.npz,dev_val,digital_1,huawei,arabic-024_03,0.9850807785987854,1,True,1971,3211,0.11264898170782481,0.515664838175964,4.577625384252762,1.0,0.08617352735815384,0.35492307133502016,4.118701905515499,0.0,,,,
train/attack/digital_1/iphone15pro/arabic-024_03.jpg,data/processed/policy_c/train/attack/digital_1/iphone15pro/arabic-024_03.jpg,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_1/iphone15pro/arabic-024_03.jpg.npz,dev_val,digital_1,iphone15pro,arabic-024_03,0.9958873391151428,1,True,1748,2769,0.10660752049703608,0.6919420994611191,6.490556165597685,1.0,0.08555245100834426,0.44745477634309255,5.230180679446,0.0,,,,
train/attack/digital_1/scan/arabic-024_03.jpg,data/processed/policy_c/train/attack/digital_1/scan/arabic-024_03.jpg,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_1/scan/arabic-024_03.jpg.npz,dev_val,digital_1,scan,arabic-024_03,0.9986510872840881,1,True,1244,2003,0.11509102905127838,0.5690783953487266,4.944593857920723,1.0,0.09188869428975507,0.0490548831219599,0.5338511282712738,0.0,,,,
train/attack/digital_2/huawei/arabic-024_03.jpg,data/processed/policy_c/train/attack/digital_2/huawei/arabic-024_03.jpg,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_2/huawei/arabic-024_03.jpg.npz,dev_val,digital_2,huawei,arabic-024_03,0.756030797958374,1,True,1971,3211,0.06819989189242143,0.0716428187273432,1.0504828781892008,1.0,0.041724437542750445,0.04395752227938435,1.0535198283822498,0.0,,,,
train/attack/digital_2/iphone15pro/arabic-024_03.jpg,data/processed/policy_c/train/attack/digital_2/iphone15pro/arabic-024_03.jpg,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_2/iphone15pro/arabic-024_03.jpg.npz,dev_val,digital_2,iphone15pro,arabic-024_03,0.6166214942932129,1,True,1748,2769,0.06803544968691454,0.12339853013704191,1.813738730395656,1.0,0.046980380198222725,0.08753228730415569,1.8631668567779502,0.0,,,,
train/attack/digital_2/scan/arabic-024_03.jpg,data/processed/policy_c/train/attack/digital_2/scan/arabic-024_03.jpg,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_2/scan/arabic-024_03.jpg.npz,dev_val,digital_2,scan,arabic-024_03,0.7569900751113892,1,True,1244,2003,0.06643009761884504,0.11646321116251684,1.7531693515000693,0.0,0.04322776285732174,0.04494940246044026,1.0398271733099165,0.0,,,,
train/attack/digital_1/huawei/arabic-120_03.jpg,data/processed/policy_c/train/attack/digital_1/huawei/arabic-120_03.jpg,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_1/huawei/arabic-120_03.jpg.npz,dev_val,digital_1,huawei,arabic-120_03,0.9735600352287292,1,True,1964,3181,0.140649739959318,0.6948112700525684,4.94001105336944,1.0,0.11564655467705079,0.5384199091129142,4.6557367023728515,0.0,,,,
train/attack/digital_1/iphone15pro/arabic-120_03.jpg,data/processed/policy_c/train/attack/digital_1/iphone15pro/arabic-120_03.jpg,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_1/iphone15pro/arabic-120_03.jpg.npz,dev_val,digital_1,iphone15pro,arabic-120_03,0.9960075616836548,1,True,1737,2768,0.1316499362730906,0.8631473998850241,6.556382967740581,1.0,0.11068390787385067,0.5909576297700982,5.339146775009318,0.0,,,,
train/attack/digital_1/scan/arabic-120_03.jpg,data/processed/policy_c/train/attack/digital_1/scan/arabic-120_03.jpg,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_1/scan/arabic-120_03.jpg.npz,dev_val,digital_1,scan,arabic-120_03,0.9858956933021545,1,True,1249,1992,0.15609837267404286,0.4442421219423465,2.845911295116392,1.0,0.13211573274684005,0.051343897433610584,0.38862818504739083,0.0,,,,
train/attack/digital_2/huawei/arabic-120_03.jpg,data/processed/policy_c/train/attack/digital_2/huawei/arabic-120_03.jpg,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_2/huawei/arabic-120_03.jpg.npz,dev_val,digital_2,huawei,arabic-120_03,0.759139895439148,1,True,1964,3181,0.08333466720362949,0.29748220103791007,3.569729273784797,0.0,0.05833148192136226,0.24019724926947503,4.117797823022726,0.0,,,,
train/attack/digital_2/iphone15pro/arabic-120_03.jpg,data/processed/policy_c/train/attack/digital_2/iphone15pro/arabic-120_03.jpg,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_2/iphone15pro/arabic-120_03.jpg.npz,dev_val,digital_2,iphone15pro,arabic-120_03,0.5856478214263916,1,True,1737,2768,0.0811207783002386,0.31739625719425224,3.9126382148298333,1.0,0.060154749900998665,0.24198596404870856,4.022724131460335,0.0,,,,
train/attack/digital_2/scan/arabic-120_03.jpg,data/processed/policy_c/train/attack/digital_2/scan/arabic-120_03.jpg,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_2/scan/arabic-120_03.jpg.npz,dev_val,digital_2,scan,arabic-120_03,0.6468750238418579,1,True,1249,1992,0.08644224616641104,0.12908644444616318,1.4933258929627682,0.0,0.06245960623920824,0.0778686441138813,1.2467040508654412,0.0,,,,
train/attack/digital_1/huawei/arabic-NF-1048.jpg,data/processed/policy_c/train/attack/digital_1/huawei/arabic-NF-1048.jpg,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_1/huawei/arabic-NF-1048.jpg.npz,dev_val,digital_1,huawei,arabic-NF-1048,0.8455728888511658,1,True,1891,3045,0.19060348952214232,0.3792267331498038,1.989610652462631,1.0,0.17036971428918765,0.3244842435220427,1.9045887637708845,0.0,,,,
train/attack/digital_1/iphone15pro/arabic-NF-1048.jpg,data/processed/policy_c/train/attack/digital_1/iphone15pro/arabic-NF-1048.jpg,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_1/iphone15pro/arabic-NF-1048.jpg.npz,dev_val,digital_1,iphone15pro,arabic-NF-1048,0.9727941155433655,1,True,1605,2629,0.20357976985670256,0.698649520319103,3.431821937960114,1.0,0.1812143252412286,0.47265930850098115,2.608288874909791,0.0,,,,
train/attack/digital_1/scan/arabic-NF-1048.jpg,data/processed/policy_c/train/attack/digital_1/scan/arabic-NF-1048.jpg,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_1/scan/arabic-NF-1048.jpg.npz,dev_val,digital_1,scan,arabic-NF-1048,0.9912289381027222,1,True,1248,2005,0.20263763667753693,0.4293951083387925,2.1190293934492597,1.0,0.17950716158322144,0.07228506936766668,0.40268627017510134,0.0,,,,
train/attack/digital_2/huawei/arabic-NF-1048.jpg,data/processed/policy_c/train/attack/digital_2/huawei/arabic-NF-1048.jpg,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_2/huawei/arabic-NF-1048.jpg.npz,dev_val,digital_2,huawei,arabic-NF-1048,0.6732587218284607,1,True,1891,3045,0.10836465879774473,0.1448012992526469,1.3362409927659964,0.0,0.0881308835647901,0.12040654652503875,1.3662242071648012,0.0,,,,
train/attack/digital_2/iphone15pro/arabic-NF-1048.jpg,data/processed/policy_c/train/attack/digital_2/iphone15pro/arabic-NF-1048.jpg,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_2/iphone15pro/arabic-NF-1048.jpg.npz,dev_val,digital_2,iphone15pro,arabic-NF-1048,0.7673940658569336,1,True,1605,2629,0.10658447771027445,0.4037487709230426,3.7880635116544963,1.0,0.0842190330948005,0.3262180521854355,3.873448081720799,0.0,,,,
train/attack/digital_2/scan/arabic-NF-1048.jpg,data/processed/policy_c/train/attack/digital_2/scan/arabic-NF-1048.jpg,output/LABPC/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_2/scan/arabic-NF-1048.jpg.npz,dev_val,digital_2,scan,arabic-NF-1048,0.8697919845581055,1,True,1248,2005,0.10350645821344076,0.08627443544149596,0.8335174145712664,0.0,0.08037598311912526,0.05129934207349141,0.6382421723845125,0.0,,,,
