image_path,split,variant,file_stem,hardware_source,inventory_row,field_name,field_norm,semantic_type,region_provenance,native_width,native_height,original_x0,original_y0,original_x1,original_y1,clipped_x0,clipped_y0,clipped_x1,clipped_y1,annotation_clipped,content_width_r512,pad_left_r512,pad_right_r512,model_x0,model_y0,model_x1,model_y1
train/attack/digital_1/huawei/arabic-024_03.jpg,dev_val,digital_1,arabic-024_03,huawei,13620,face,face,face,altered,3211,1971,231,705,969,1444,231,705,969,1444,0,834,15,15,74,183,267,376
train/attack/digital_1/huawei/arabic-024_03.jpg,dev_val,digital_1,arabic-024_03,huawei,13621,dob,dob,text,altered,3211,1971,1533,1219,1769,1365,1533,1219,1769,1365,0,834,15,15,413,316,475,355
train/attack/digital_1/huawei/arabic-024_03.jpg,dev_val,digital_1,arabic-024_03,huawei,13622,doe,doe,text,altered,3211,1971,1521,1752,1763,1904,1521,1752,1763,1904,0,834,15,15,410,455,473,495
train/attack/digital_1/huawei/arabic-024_03.jpg,dev_val,digital_1,arabic-024_03,huawei,13623,name,name,text,altered,3211,1971,1244,719,1932,859,1244,719,1932,859,0,834,15,15,338,186,517,224
train/attack/digital_1/iphone15pro/arabic-024_03.jpg,dev_val,digital_1,arabic-024_03,iphone15pro,16218,face,face,face,altered,2769,1748,205,657,849,1300,205,657,849,1300,0,811,26,27,86,192,275,381
train/attack/digital_1/iphone15pro/arabic-024_03.jpg,dev_val,digital_1,arabic-024_03,iphone15pro,16219,dob,dob,text,altered,2769,1748,1341,1086,1542,1190,1341,1086,1542,1190,0,811,26,27,418,318,478,349
train/attack/digital_1/iphone15pro/arabic-024_03.jpg,dev_val,digital_1,arabic-024_03,iphone15pro,16220,doe,doe,text,altered,2769,1748,1349,1548,1552,1654,1349,1548,1552,1654,0,811,26,27,421,453,481,485
train/attack/digital_1/iphone15pro/arabic-024_03.jpg,dev_val,digital_1,arabic-024_03,iphone15pro,16221,name,name,text,altered,2769,1748,1074,650,1663,751,1074,650,1663,751,0,811,26,27,340,190,514,220
train/attack/digital_1/scan/arabic-024_03.jpg,dev_val,digital_1,arabic-024_03,scan,18812,face,face,face,altered,2003,1244,148,456,627,934,148,456,627,934,0,824,20,20,80,187,278,385
train/attack/digital_1/scan/arabic-024_03.jpg,dev_val,digital_1,arabic-024_03,scan,18813,dob,dob,text,altered,2003,1244,976,773,1131,853,976,773,1131,853,0,824,20,20,421,318,486,352
train/attack/digital_1/scan/arabic-024_03.jpg,dev_val,digital_1,arabic-024_03,scan,18814,doe,doe,text,altered,2003,1244,992,1116,1149,1203,992,1116,1149,1203,0,824,20,20,428,459,493,496
train/attack/digital_1/scan/arabic-024_03.jpg,dev_val,digital_1,arabic-024_03,scan,18815,name,name,text,altered,2003,1244,780,459,1215,532,780,459,1215,532,0,824,20,20,340,188,520,219
train/attack/digital_1/huawei/arabic-120_03.jpg,dev_val,digital_1,arabic-120_03,huawei,13649,face,face,face,altered,3181,1964,176,703,1026,1553,176,703,1026,1553,0,829,17,18,62,183,285,405
train/attack/digital_1/huawei/arabic-120_03.jpg,dev_val,digital_1,arabic-120_03,huawei,13650,dob,dob,text,altered,3181,1964,1539,1217,1775,1353,1539,1217,1775,1353,0,829,17,18,418,317,480,353
train/attack/digital_1/huawei/arabic-120_03.jpg,dev_val,digital_1,arabic-120_03,huawei,13651,doe,doe,text,altered,3181,1964,1520,1735,1757,1871,1520,1735,1757,1871,0,829,17,18,413,452,475,488
train/attack/digital_1/huawei/arabic-120_03.jpg,dev_val,digital_1,arabic-120_03,huawei,13652,name,name,text,altered,3181,1964,1242,723,1903,862,1242,723,1903,862,0,829,17,18,340,188,513,225
