eval_split,image_path,cache_path,file_stem,traffic_type,variant,hardware_source,label,assigned_q,cache_sha256,cache_sha256_runtime,trufor_score,native_height,native_width,map_min,map_max,map_mean,map_path,inference_status,condition,preprocessing,checkpoint_sha256,frozen_threshold,clean_prediction,clean_correct
dev_val,train/attack/digital_1/huawei/arabic-024_03.jpg,data/processed/policy_c/train/attack/digital_1/huawei/arabic-024_03.jpg,arabic-024_03,attack,digital_1,huawei,1,78,d6244c86213948babbee7a878093d3f4565ea1ef27d6d0293675501fe42bd303,d6244c86213948babbee7a878093d3f4565ea1ef27d6d0293675501fe42bd303,0.9850807785987854,1971,3211,0.0007255666423588,0.9999749660491944,0.1613191962242126,output/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_1/huawei/arabic-024_03.jpg.npz,resumed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,0.5329559743404388,1,True
dev_val,train/attack/digital_1/iphone15pro/arabic-024_03.jpg,data/processed/policy_c/train/attack/digital_1/iphone15pro/arabic-024_03.jpg,arabic-024_03,attack,digital_1,iphone15pro,1,79,4eb4ec909bcd54efea853cc039e985cac2fa20108ec35ba2993b9c3cdbe39145,4eb4ec909bcd54efea853cc039e985cac2fa20108ec35ba2993b9c3cdbe39145,0.9958873391151428,1748,2769,0.0001408027892466,0.9999765157699584,0.0803272947669029,output/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_1/iphone15pro/arabic-024_03.jpg.npz,resumed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,0.5329559743404388,1,True
dev_val,train/attack/digital_1/scan/arabic-024_03.jpg,data/processed/policy_c/train/attack/digital_1/scan/arabic-024_03.jpg,arabic-024_03,attack,digital_1,scan,1,74,3bcc52222c9d6d4db09a1d8d23b1b6eb27d6dcafd54adaad288c2d9c18a0e042,3bcc52222c9d6d4db09a1d8d23b1b6eb27d6dcafd54adaad288c2d9c18a0e042,0.998651087284088,1244,2003,5.14404964633286e-05,0.9999761581420898,0.0410962477326393,output/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_1/scan/arabic-024_03.jpg.npz,resumed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,0.5329559743404388,1,True
dev_val,train/attack/digital_2/huawei/arabic-024_03.jpg,data/processed/policy_c/train/attack/digital_2/huawei/arabic-024_03.jpg,arabic-024_03,attack,digital_2,huawei,1,78,c5bd1dc664dffd0e58f045f9e39509d40811e49e0e7ad51e4224dbe898ecda61,c5bd1dc664dffd0e58f045f9e39509d40811e49e0e7ad51e4224dbe898ecda61,0.756030797958374,1971,3211,0.0700907185673713,0.968434512615204,0.8567407131195068,output/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_2/huawei/arabic-024_03.jpg.npz,resumed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,0.5329559743404388,1,True
dev_val,train/attack/digital_2/iphone15pro/arabic-024_03.jpg,data/processed/policy_c/train/attack/digital_2/iphone15pro/arabic-024_03.jpg,arabic-024_03,attack,digital_2,iphone15pro,1,79,d3e93e8c914612f6790b619fd5369c95842b325462cb353ced245c8493e525bb,d3e93e8c914612f6790b619fd5369c95842b325462cb353ced245c8493e525bb,0.6166219115257263,1748,2769,0.017636926844716,0.9852603673934937,0.3404908776283264,output/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_2/iphone15pro/arabic-024_03.jpg.npz,resumed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,0.5329559743404388,1,True
dev_val,train/attack/digital_2/scan/arabic-024_03.jpg,data/processed/policy_c/train/attack/digital_2/scan/arabic-024_03.jpg,arabic-024_03,attack,digital_2,scan,1,74,8ed519135a20e3b95f31578fa1742ee674f8482ef8ab76fb83d7ef6933b1afdd,8ed519135a20e3b95f31578fa1742ee674f8482ef8ab76fb83d7ef6933b1afdd,0.7569901347160339,1244,2003,0.001475671888329,0.9899951219558716,0.0909073203802108,output/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_2/scan/arabic-024_03.jpg.npz,resumed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,0.5329559743404388,1,True
dev_val,train/attack/digital_1/huawei/arabic-120_03.jpg,data/processed/policy_c/train/attack/digital_1/huawei/arabic-120_03.jpg,arabic-120_03,attack,digital_1,huawei,1,67,c673dae75af37c38253e3175a00144cab5d500bc841f4229e3fc1e8365701777,c673dae75af37c38253e3175a00144cab5d500bc841f4229e3fc1e8365701777,0.9735600352287292,1964,3181,0.0003617941983975,0.9998363256454468,0.1522097736597061,output/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_1/huawei/arabic-120_03.jpg.npz,resumed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,0.5329559743404388,1,True
dev_val,train/attack/digital_1/iphone15pro/arabic-120_03.jpg,data/processed/policy_c/train/attack/digital_1/iphone15pro/arabic-120_03.jpg,arabic-120_03,attack,digital_1,iphone15pro,1,65,93c4f9ac518593b4002c0da3214ee6ca5f5e7d6ba9029d7c1dc44f6ec2556e78,93c4f9ac518593b4002c0da3214ee6ca5f5e7d6ba9029d7c1dc44f6ec2556e78,0.9960075616836548,1737,2768,8.744160004425794e-05,0.9999560117721558,0.0730201676487922,output/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_1/iphone15pro/arabic-120_03.jpg.npz,resumed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,0.5329559743404388,1,True
dev_val,train/attack/digital_1/scan/arabic-120_03.jpg,data/processed/policy_c/train/attack/digital_1/scan/arabic-120_03.jpg,arabic-120_03,attack,digital_1,scan,1,65,8710dfbf6cac440a26ec1de00c536e287a9fcd4a937444e787f29250080c1777,8710dfbf6cac440a26ec1de00c536e287a9fcd4a937444e787f29250080c1777,0.9858956933021544,1249,1992,0.0003568372922018,0.999943733215332,0.0519779659807682,output/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_1/scan/arabic-120_03.jpg.npz,resumed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,0.5329559743404388,1,True
dev_val,train/attack/digital_2/huawei/arabic-120_03.jpg,data/processed/policy_c/train/attack/digital_2/huawei/arabic-120_03.jpg,arabic-120_03,attack,digital_2,huawei,1,67,8637d1e95e77be08b2c3dd9ff684f1263eb64185ad71b4007ce1ed59e7c68e59,8637d1e95e77be08b2c3dd9ff684f1263eb64185ad71b4007ce1ed59e7c68e59,0.7591396570205688,1964,3181,0.0016807479551061,0.9976297616958618,0.1946655213832855,output/trufor_pretrained_policy_c_native/maps/dev_val/train/attack/digital_2/huawei/arabic-120_03.jpg.npz,resumed,policy_c_native,native_RGB_float32_div256,ac1d90e329a72e0d66e8665e123a19e94bfae3209c3ef8a4f9ca3b91578c7844,0.5329559743404388,1,True
