eval_split,image_path,file_stem,hardware_source,trufor_score,frozen_threshold,clean_prediction,clean_correct,map_mean,map_max,confidence_mean,confidence_max,map_rerun_max_abs_error,score_rerun_abs_error,panel_path,anomaly_overlay_path,anomaly_heatmap_path,confidence_path
dev_val,train/bonafide/huawei/arabic-024_03.jpg,arabic-024_03,huawei,0.8291121125221252,0.5329559743404388,1,False,0.9087907671928406,0.9777646660804749,0.5349279046058655,0.9890717267990112,0.0,0.0,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/huawei/arabic-024_03__ebaf698a__panel.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/huawei/arabic-024_03__ebaf698a__anomaly_overlay.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/huawei/arabic-024_03__ebaf698a__anomaly_heatmap.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/huawei/arabic-024_03__ebaf698a__confidence.png
dev_val,train/bonafide/iphone15pro/arabic-024_03.jpg,arabic-024_03,iphone15pro,0.5766599178314209,0.5329559743404388,1,False,0.21155929565429688,0.9760337471961975,0.7260892391204834,0.9988601207733154,0.0,0.0,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/iphone15pro/arabic-024_03__2f51c07c__panel.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/iphone15pro/arabic-024_03__2f51c07c__anomaly_overlay.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/iphone15pro/arabic-024_03__2f51c07c__anomaly_heatmap.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/iphone15pro/arabic-024_03__2f51c07c__confidence.png
dev_val,train/bonafide/scan/arabic-024_03.jpg,arabic-024_03,scan,0.7962162494659424,0.5329559743404388,1,False,0.058011580258607864,0.9916399717330933,0.8469120860099792,0.9976394176483154,0.0,0.0,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/scan/arabic-024_03__047d2f08__panel.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/scan/arabic-024_03__047d2f08__anomaly_overlay.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/scan/arabic-024_03__047d2f08__anomaly_heatmap.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/scan/arabic-024_03__047d2f08__confidence.png
dev_val,train/bonafide/huawei/arabic-120_03.jpg,arabic-120_03,huawei,0.6985123753547668,0.5329559743404388,1,False,0.16069455444812775,0.9970593452453613,0.8106151223182678,0.9994189739227295,0.0,0.0,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/huawei/arabic-120_03__0501f878__panel.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/huawei/arabic-120_03__0501f878__anomaly_overlay.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/huawei/arabic-120_03__0501f878__anomaly_heatmap.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/huawei/arabic-120_03__0501f878__confidence.png
dev_val,train/bonafide/iphone15pro/arabic-120_03.jpg,arabic-120_03,iphone15pro,0.3523324429988861,0.5329559743404388,0,True,0.06310993432998657,0.9891542792320251,0.9071750044822693,0.999934196472168,0.0,0.0,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/iphone15pro/arabic-120_03__2ae1bbb6__panel.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/iphone15pro/arabic-120_03__2ae1bbb6__anomaly_overlay.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/iphone15pro/arabic-120_03__2ae1bbb6__anomaly_heatmap.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/iphone15pro/arabic-120_03__2ae1bbb6__confidence.png
dev_val,train/bonafide/scan/arabic-120_03.jpg,arabic-120_03,scan,0.599531352519989,0.5329559743404388,1,False,0.10433819890022278,0.9945291876792908,0.8169158101081848,0.9982956051826477,0.0,0.0,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/scan/arabic-120_03__a30133af__panel.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/scan/arabic-120_03__a30133af__anomaly_overlay.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/scan/arabic-120_03__a30133af__anomaly_heatmap.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/scan/arabic-120_03__a30133af__confidence.png
dev_val,train/bonafide/huawei/arabic-NF-1048.jpg,arabic-NF-1048,huawei,0.6320394277572632,0.5329559743404388,1,False,0.5310972332954407,0.9944456815719604,0.6504231095314026,0.9927905797958374,0.0,0.0,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/huawei/arabic-NF-1048__2e6447ba__panel.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/huawei/arabic-NF-1048__2e6447ba__anomaly_overlay.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/huawei/arabic-NF-1048__2e6447ba__anomaly_heatmap.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/huawei/arabic-NF-1048__2e6447ba__confidence.png
dev_val,train/bonafide/iphone15pro/arabic-NF-1048.jpg,arabic-NF-1048,iphone15pro,0.45355576276779175,0.5329559743404388,0,True,0.09653667360544205,0.980077862739563,0.8605517148971558,0.9997735619544983,0.0,0.0,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/iphone15pro/arabic-NF-1048__104ba05f__panel.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/iphone15pro/arabic-NF-1048__104ba05f__anomaly_overlay.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/iphone15pro/arabic-NF-1048__104ba05f__anomaly_heatmap.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/iphone15pro/arabic-NF-1048__104ba05f__confidence.png
dev_val,train/bonafide/scan/arabic-NF-1048.jpg,arabic-NF-1048,scan,0.8359366059303284,0.5329559743404388,1,False,0.04682154953479767,0.9994786381721497,0.8656580448150635,0.9957387447357178,0.0,0.0,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/scan/arabic-NF-1048__e28ad92d__panel.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/scan/arabic-NF-1048__e28ad92d__anomaly_overlay.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/scan/arabic-NF-1048__e28ad92d__anomaly_heatmap.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/scan/arabic-NF-1048__e28ad92d__confidence.png
dev_val,train/bonafide/huawei/arabic-NF-1098.jpg,arabic-NF-1098,huawei,0.6157259345054626,0.5329559743404388,1,False,0.4886634349822998,0.996587872505188,0.6788705587387085,0.9982155561447144,0.0,0.0,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/huawei/arabic-NF-1098__72808fc3__panel.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/huawei/arabic-NF-1098__72808fc3__anomaly_overlay.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/huawei/arabic-NF-1098__72808fc3__anomaly_heatmap.png,output/trufor_policy_c_frozen_protocol/stage04_clean_evaluation_accuracy/visuals/bonafide/dev_val/huawei/arabic-NF-1098__72808fc3__confidence.png
