image_path,file_stem,variant,hardware_source,label,saved_attack_probability,clean_correct_at_0_5,selected_for_gradcam,selection_scope,evidence_role
test/attack/digital_3/huawei/arabic-003_03.jpg,arabic-003_03,digital_3,huawei,1,0.0300140380859375,False,False,clean_correct_at_0.5,exploratory_clean_correct
test/attack/digital_3/huawei/arabic-005_03.jpg,arabic-005_03,digital_3,huawei,1,0.0172882080078125,False,False,clean_correct_at_0.5,exploratory_clean_correct
test/attack/digital_3/huawei/arabic-01_0002_000-c7338db1_1.jpg,arabic-01_0002_000-c7338db1_1,digital_3,huawei,1,0.03253173828125,False,False,clean_correct_at_0.5,exploratory_clean_correct
test/attack/digital_3/huawei/arabic-01_0076_000-fd5000df_1.jpg,arabic-01_0076_000-fd5000df_1,digital_3,huawei,1,0.038909912109375,False,False,clean_correct_at_0.5,exploratory_clean_correct
test/attack/digital_3/huawei/arabic-01_0095_000-18471808_1.jpg,arabic-01_0095_000-18471808_1,digital_3,huawei,1,0.12060546875,False,False,clean_correct_at_0.5,exploratory_clean_correct
test/attack/digital_3/huawei/arabic-024_03.jpg,arabic-024_03,digital_3,huawei,1,0.0192413330078125,False,False,clean_correct_at_0.5,exploratory_clean_correct
test/attack/digital_3/huawei/arabic-112_03.jpg,arabic-112_03,digital_3,huawei,1,0.044708251953125,False,False,clean_correct_at_0.5,exploratory_clean_correct
test/attack/digital_3/huawei/arabic-120_03.jpg,arabic-120_03,digital_3,huawei,1,0.023193359375,False,False,clean_correct_at_0.5,exploratory_clean_correct
test/attack/digital_3/huawei/arabic-131_03.jpg,arabic-131_03,digital_3,huawei,1,0.0135574340820312,False,False,clean_correct_at_0.5,exploratory_clean_correct
test/attack/digital_3/huawei/arabic-139_03.jpg,arabic-139_03,digital_3,huawei,1,0.0071640014648437,False,False,clean_correct_at_0.5,exploratory_clean_correct
test/attack/digital_3/huawei/arabic-173_03.jpg,arabic-173_03,digital_3,huawei,1,0.0064888000488281,False,False,clean_correct_at_0.5,exploratory_clean_correct
test/attack/digital_3/huawei/arabic-NF-1003.jpg,arabic-NF-1003,digital_3,huawei,1,0.475341796875,False,False,clean_correct_at_0.5,exploratory_clean_correct
test/attack/digital_3/huawei/arabic-NF-1012.jpg,arabic-NF-1012,digital_3,huawei,1,0.0748291015625,False,False,clean_correct_at_0.5,exploratory_clean_correct
test/attack/digital_3/huawei/arabic-NF-1030.jpg,arabic-NF-1030,digital_3,huawei,1,0.039794921875,False,False,clean_correct_at_0.5,exploratory_clean_correct
test/attack/digital_3/huawei/arabic-NF-1037.jpg,arabic-NF-1037,digital_3,huawei,1,0.071044921875,False,False,clean_correct_at_0.5,exploratory_clean_correct
test/attack/digital_3/huawei/arabic-NF-1040.jpg,arabic-NF-1040,digital_3,huawei,1,0.028411865234375,False,False,clean_correct_at_0.5,exploratory_clean_correct
test/attack/digital_3/huawei/arabic-NF-1045.jpg,arabic-NF-1045,digital_3,huawei,1,0.05718994140625,False,False,clean_correct_at_0.5,exploratory_clean_correct
test/attack/digital_3/huawei/arabic-NF-1048.jpg,arabic-NF-1048,digital_3,huawei,1,0.0059928894042968,False,False,clean_correct_at_0.5,exploratory_clean_correct
test/attack/digital_3/huawei/arabic-NF-1049.jpg,arabic-NF-1049,digital_3,huawei,1,0.053863525390625,False,False,clean_correct_at_0.5,exploratory_clean_correct
test/attack/digital_3/huawei/arabic-NF-1053.jpg,arabic-NF-1053,digital_3,huawei,1,0.0780029296875,False,False,clean_correct_at_0.5,exploratory_clean_correct
test/attack/digital_3/huawei/arabic-NF-1098.jpg,arabic-NF-1098,digital_3,huawei,1,0.04620361328125,False,False,clean_correct_at_0.5,exploratory_clean_correct
test/attack/digital_3/huawei/arabic-NF-1100.jpg,arabic-NF-1100,digital_3,huawei,1,0.030181884765625,False,False,clean_correct_at_0.5,exploratory_clean_correct
test/attack/digital_3/huawei/arabic-NM-1029.jpg,arabic-NM-1029,digital_3,huawei,1,0.09197998046875,False,False,clean_correct_at_0.5,exploratory_clean_correct
