image_path,evaluation_split,selection_scope,evidence_role,variant,file_stem,hardware_source,label,assigned_q,attack_probability,saved_attack_probability,probability_abs_error,attack_margin,predicted_attack,native_width,native_height,content_width,pad_left,pad_right,visual_contour_threshold,visual_contour_area_content,heatmap_path,overlay_path,rma_A,rma_E,rma_mu_w,rma_PG,rma_energy_gain,face_A,face_E,face_mu_w,face_PG,text_A,text_E,text_mu_w,text_PG,face_share_altered_energy,text_share_altered_energy,padding_area_canvas,padding_energy_canvas,pointing_padding_canvas,content_energy_fraction_canvas,cam_zero_content,content_max_x,content_max_y,global_max_x,global_max_y,area_bin
train/attack/digital_1/huawei/arabic-024_03.jpg,dev_val,all_attacks,heldout_primary,digital_1,arabic-024_03,huawei,1,78,0.9999886751174927,1.0,1.1324882507324219e-05,11.391866683959961,1,3211,1971,834,15,15,0.5534612536430359,0.04520524205635491,output/resnet18_gradcam_clean_rma/visuals/dev_val/all_attacks/digital_1/huawei/arabic-024_03__c059abb9__heatmap.png,output/resnet18_gradcam_clean_rma/visuals/dev_val/all_attacks/digital_1/huawei/arabic-024_03__c059abb9__overlay.png,0.1147261877997602,0.5305389165878296,4.62439244920974,1.0,0.4158127287880694,0.08723255770383694,0.3821490705013275,4.38080781488445,0.0,0.02749363009592326,0.1483898013830185,5.397242956470184,1.0,0.7203036225417274,0.2796963774582725,0.034722222222222224,0.0,0.0,1.0,0,432,463,432,463,medium
train/attack/digital_1/iphone15pro/arabic-024_03.jpg,dev_val,all_attacks,heldout_primary,digital_1,arabic-024_03,iphone15pro,1,79,0.9997965693473816,1.0,0.0002034306526184082,8.499818801879883,1,2769,1748,811,26,27,0.6197531223297119,0.04414399660912454,output/resnet18_gradcam_clean_rma/visuals/dev_val/all_attacks/digital_1/iphone15pro/arabic-024_03__8a15bc35__heatmap.png,output/resnet18_gradcam_clean_rma/visuals/dev_val/all_attacks/digital_1/iphone15pro/arabic-024_03__8a15bc35__overlay.png,0.10770123689889026,0.5388723611831665,5.003399930207477,1.0,0.43117112428427623,0.08602660681257707,0.4412679672241211,5.129435921906056,0.0,0.021674630086313193,0.09760446101427078,4.503166172875298,1.0,0.8188727866255817,0.18112721337441823,0.061342592592592594,0.0,0.0,1.0,0,463,463,463,463,medium
train/attack/digital_1/scan/arabic-024_03.jpg,dev_val,all_attacks,heldout_primary,digital_1,arabic-024_03,scan,1,74,0.9999992847442627,1.0,7.152557373046875e-07,14.137882232666016,1,2003,1244,824,20,20,0.6888007521629333,0.039079092081310676,output/resnet18_gradcam_clean_rma/visuals/dev_val/all_attacks/digital_1/scan/arabic-024_03__79b9e607__heatmap.png,output/resnet18_gradcam_clean_rma/visuals/dev_val/all_attacks/digital_1/scan/arabic-024_03__79b9e607__overlay.png,0.11709031780946602,0.6589711308479309,5.6278874562475325,1.0,0.5418808130384649,0.09292513652912622,0.598235011100769,6.437816864689349,1.0,0.024165181280339804,0.060736123472452164,2.513373384948102,0.0,0.9078318913403476,0.09216810865965241,0.046296296296296294,0.0,0.0,1.0,0,176,208,176,208,medium
train/attack/digital_1/huawei/arabic-120_03.jpg,dev_val,all_attacks,heldout_primary,digital_1,arabic-120_03,huawei,1,67,0.9999998807907104,1.0,1.1920928955078125e-07,16.291847229003906,1,3181,1964,829,17,18,0.6070403456687927,0.042784981905910735,output/resnet18_gradcam_clean_rma/visuals/dev_val/all_attacks/digital_1/huawei/arabic-120_03__0276e20a__heatmap.png,output/resnet18_gradcam_clean_rma/visuals/dev_val/all_attacks/digital_1/huawei/arabic-120_03__0276e20a__overlay.png,0.1422341488238842,0.7339920401573181,5.160448782705163,1.0,0.5917578913334339,0.1166361957177322,0.6698153614997864,5.742774422451043,1.0,0.02559795310615199,0.06417671591043472,2.5071034251957847,0.0,0.9125648353148411,0.08743516468515884,0.04050925925925926,1.1620410305113182e-06,0.0,0.9999988295686083,0,175,239,175,239,large
train/attack/digital_1/iphone15pro/arabic-120_03.jpg,dev_val,all_attacks,heldout_primary,digital_1,arabic-120_03,iphone15pro,1,65,0.9999998807907104,1.0,1.1920928955078125e-07,16.367359161376953,1,2768,1737,816,24,24,0.6538118124008179,0.04313869102328431,output/resnet18_gradcam_clean_rma/visuals/dev_val/all_attacks/digital_1/iphone15pro/arabic-120_03__e1549485__heatmap.png,output/resnet18_gradcam_clean_rma/visuals/dev_val/all_attacks/digital_1/iphone15pro/arabic-120_03__e1549485__overlay.png,0.13355688955269607,0.6574694514274597,4.922767021824428,1.0,0.5239125618747636,0.11167279411764706,0.5775172710418701,5.171512682251478,1.0,0.02188409543504902,0.07995212823152542,3.65343536674018,0.0,0.8783941433087755,0.12160585669122446,0.05555555555555555,0.0,0.0,1.0,0,176,239,176,239,medium
train/attack/digital_1/scan/arabic-120_03.jpg,dev_val,all_attacks,heldout_primary,digital_1,arabic-120_03,scan,1,65,0.9999862909317017,1.0,1.3709068298339844e-05,11.199203491210938,1,1992,1249,817,23,24,0.6245840191841125,0.034149804926560584,output/resnet18_gradcam_clean_rma/visuals/dev_val/all_attacks/digital_1/scan/arabic-120_03__5f783b19__heatmap.png,output/resnet18_gradcam_clean_rma/visuals/dev_val/all_attacks/digital_1/scan/arabic-120_03__5f783b19__overlay.png,0.15913068007955936,0.79979407787323,5.026020610691559,1.0,0.6406633977936707,0.134124942625459,0.7665992379188538,5.715560602769953,1.0,0.02500573745410037,0.033194828778505325,1.3274884949678671,0.0,0.9584957794344522,0.041504220565547784,0.05439814814814815,0.0,0.0,0.9999998858008291,0,176,208,176,208,large
train/attack/digital_1/huawei/arabic-NF-1048.jpg,dev_val,all_attacks,heldout_primary,digital_1,arabic-NF-1048,huawei,1,55,0.9999996423721313,1.0,3.5762786865234375e-07,14.80477237701416,1,3045,1891,824,20,20,0.5564140677452087,0.03962426046723301,output/resnet18_gradcam_clean_rma/visuals/dev_val/all_attacks/digital_1/huawei/arabic-NF-1048__10943072__heatmap.png,output/resnet18_gradcam_clean_rma/visuals/dev_val/all_attacks/digital_1/huawei/arabic-NF-1048__10943072__overlay.png,0.19323848983616504,0.7824844121932983,4.04931964049563,1.0,0.5892459223571334,0.17200062575849515,0.7264267802238464,4.223396147661795,1.0,0.021237864077669904,0.056057609617710114,2.6395125899996077,0.0,0.9283594571144715,0.07164054288552844,0.046296296296296294,6.961577309994027e-05,0.0,0.9999304432941051,0,144,207,144,207,large
train/attack/digital_1/iphone15pro/arabic-NF-1048.jpg,dev_val,all_attacks,heldout_primary,digital_1,arabic-NF-1048,iphone15pro,1,57,0.9999996423721313,1.0,3.5762786865234375e-07,14.76966667175293,1,2629,1605,839,12,13,0.47722119092941284,0.04124143325387366,output/resnet18_gradcam_clean_rma/visuals/dev_val/all_attacks/digital_1/iphone15pro/arabic-NF-1048__b270f8c9__heatmap.png,output/resnet18_gradcam_clean_rma/visuals/dev_val/all_attacks/digital_1/iphone15pro/arabic-NF-1048__b270f8c9__overlay.png,0.2060628352205006,0.8640400767326355,4.193090305721828,1.0,0.6579772415121349,0.1829233089988081,0.829491138458252,4.534638822128769,1.0,0.02313952622169249,0.03454895690083504,1.4930710581466706,0.0,0.9600146383834367,0.03998536161656328,0.028935185185185185,0.0,0.0,1.0,0,144,176,144,176,large
train/attack/digital_1/scan/arabic-NF-1048.jpg,dev_val,all_attacks,heldout_primary,digital_1,arabic-NF-1048,scan,1,50,1.0,1.0,0.0,16.68437385559082,1,2005,1248,823,20,21,0.5345972776412964,0.03462940461725395,output/resnet18_gradcam_clean_rma/visuals/dev_val/all_attacks/digital_1/scan/arabic-NF-1048__f425baf8__heatmap.png,output/resnet18_gradcam_clean_rma/visuals/dev_val/all_attacks/digital_1/scan/arabic-NF-1048__f425baf8__overlay.png,0.20559547767314704,0.8568049669265747,4.167430999084094,1.0,0.6512094892534277,0.1818447182563791,0.8264549374580383,4.544838834927483,1.0,0.023750759416767922,0.030350027605891228,1.2778550392146304,0.0,0.9645776702968931,0.03542232970310683,0.047453703703703706,0.00018808842287398875,0.0,0.9998118797702427,0,175,176,175,176,large
train/attack/digital_1/huawei/arabic-NF-1098.jpg,dev_val,all_attacks,heldout_primary,digital_1,arabic-NF-1098,huawei,1,68,0.9999996423721313,1.0,3.5762786865234375e-07,14.956074714660645,1,3037,1894,821,21,22,0.5534988045692444,0.04308769792935445,output/resnet18_gradcam_clean_rma/visuals/dev_val/all_attacks/digital_1/huawei/arabic-NF-1098__795dc6e7__heatmap.png,output/resnet18_gradcam_clean_rma/visuals/dev_val/all_attacks/digital_1/huawei/arabic-NF-1098__795dc6e7__overlay.png,0.20522086251522534,0.833235502243042,4.060189066699904,1.0,0.6280146397278167,0.1885324680267966,0.7993801832199097,4.240013359960321,1.0,0.016688394488428744,0.033855341374874115,2.0286757601726424,0.0,0.9593688219677512,0.04063117803224878,0.04976851851851852,0.0028793548699468374,0.0,0.9971205619899154,0,176,207,176,207,large
