global_order,pilot_order,pilot_role,eval_split,variant,hardware_source,file_stem,image_path,cache_path,cache_sha256,clean_score_stage4,native_height,native_width,native_pixels,A_union_stage4,E_union_stage4,mu_union_stage4,PG_union_stage4,estimated_seconds
282,282,full_population,dev_val,digital_2,scan,usa-NF-1076,train/attack/digital_2/scan/usa-NF-1076.jpg,data/processed/policy_c/train/attack/digital_2/scan/usa-NF-1076.jpg,ee546f4d0559d9da035d263c9bf9577d0b150ab8d672ec734086d6422e703443,0.5412917137145996,1252,1993,2495236,0.1849035522090896,0.2444252969084436,1.32190698333392,0.0,32.8479497139997
283,283,full_population,dev_val,digital_1,huawei,usa-NM-1038,train/attack/digital_1/huawei/usa-NM-1038.jpg,data/processed/policy_c/train/attack/digital_1/huawei/usa-NM-1038.jpg,d5700d8ce31eec2433d7e0aea18e681b433410fc559b334ad00323ec74b31a78,0.928555965423584,1883,3043,5729969,0.1844486418687431,0.4829349806510171,2.618262600137127,1.0,482.27768295699934
284,284,full_population,dev_val,digital_1,iphone15pro,usa-NM-1038,train/attack/digital_1/iphone15pro/usa-NM-1038.jpg,data/processed/policy_c/train/attack/digital_1/iphone15pro/usa-NM-1038.jpg,0aae81eae46b9712abc2a8e45a532e7c6b1ce1c7060798d37601e5bee6b5d060,0.877133846282959,1617,2650,4285050,0.1920068610634648,0.3487530402766896,1.8163571777855103,1.0,66.38288141399971
285,285,full_population,dev_val,digital_1,scan,usa-NM-1038,train/attack/digital_1/scan/usa-NM-1038.jpg,data/processed/policy_c/train/attack/digital_1/scan/usa-NM-1038.jpg,1259cd4ef763c091720e7926ef33c5642761460970e51b9819b738ae87edb045,0.68984454870224,1250,1993,2491250,0.1908230807827396,0.3227260300985379,1.6912316307584172,1.0,32.86309215199435
286,286,full_population,dev_val,digital_2,huawei,usa-NM-1038,train/attack/digital_2/huawei/usa-NM-1038.jpg,data/processed/policy_c/train/attack/digital_2/huawei/usa-NM-1038.jpg,30c47d4e91145fe70d5083c7669f8014529a92c5c48edb6a45c5a69c660e1ddf,0.7834710478782654,1883,3043,5729969,0.1014522068094958,0.1583814208533055,1.561143180953272,1.0,482.27768295699934
287,287,full_population,dev_val,digital_2,iphone15pro,usa-NM-1038,train/attack/digital_2/iphone15pro/usa-NM-1038.jpg,data/processed/policy_c/train/attack/digital_2/iphone15pro/usa-NM-1038.jpg,cf3151a0360f94a73489f6b5fc296cd3704b566915009600f539423dcd3ac062,0.7640400528907776,1617,2650,4285050,0.1035159449714705,0.109650792760789,1.0592647614916646,1.0,66.38288141399971
288,288,full_population,dev_val,digital_2,scan,usa-NM-1038,train/attack/digital_2/scan/usa-NM-1038.jpg,data/processed/policy_c/train/attack/digital_2/scan/usa-NM-1038.jpg,b1fac0becfa0f0d305989668b92b66d8f3eabea739327f81e4ad1e83fc22492b,0.5868434309959412,1250,1993,2491250,0.1035648770697441,0.1111433316603301,1.0731759145089554,0.0,32.86309215199435
289,289,full_population,official_test,digital_3,huawei,arabic-003_03,test/attack/digital_3/huawei/arabic-003_03.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/arabic-003_03.jpg,11d55f77ef627ad5c04472a4bc308a48fda6829f5e665ee9d6c3f26deba2aea6,0.9996052384376526,1884,3023,5695332,0.038594238228781,0.9043122252823604,23.431275412711315,1.0,482.27768295699934
290,290,full_population,official_test,digital_3,huawei,arabic-005_03,test/attack/digital_3/huawei/arabic-005_03.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/arabic-005_03.jpg,6712673802051ad9684c4187524d7399040f8edc871e672ebf8215f1433b7b86,0.999257504940033,1882,3068,5773976,0.0384206654132265,0.8786031518566946,22.867983737580737,1.0,482.27768295699934
291,291,full_population,official_test,digital_3,huawei,arabic-01_0002_000-c7338db1_1,test/attack/digital_3/huawei/arabic-01_0002_000-c7338db1_1.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/arabic-01_0002_000-c7338db1_1.jpg,be2a98d12c86cd2ef0afae58a980a65a5b99ed973d7d2d938a31e6356c8ede7e,0.999578058719635,2013,3216,6473808,0.0429927795201834,0.9225386883697428,21.45799128750552,1.0,836.0222426410037
292,292,full_population,official_test,digital_3,huawei,arabic-01_0076_000-fd5000df_1,test/attack/digital_3/huawei/arabic-01_0076_000-fd5000df_1.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/arabic-01_0076_000-fd5000df_1.jpg,8e3dd634cb5ad6909d5ff5b3ec675f87eb2aa81c2984fa6d15b6bd3f1a55eecc,0.9928186535835266,1976,3208,6339008,0.0435004972386846,0.6518640735720399,14.985209709105169,1.0,825.0868478999982
293,293,full_population,official_test,digital_3,huawei,arabic-01_0095_000-18471808_1,test/attack/digital_3/huawei/arabic-01_0095_000-18471808_1.jpg,data/processed/policy_c_official_test/test/attack/digital_3/huawei/arabic-01_0095_000-18471808_1.jpg,b17c599d1492b7a466ebb615a077da1cbc941f515cf420bf4e405e06c5aac8ad,0.9395004510879515,1971,3185,6277635,0.0432960820436358,0.2855689175903718,6.595721924735864,1.0,738.4537406050003
