source_dataset,split,image_path,file_stem,traffic_type,variant,hardware_source,label,native_width,native_height,aspect_ratio,log_native_width,log_native_height,log_native_area,content_width_r512,pad_total_r512,pad_left_r512,pad_right_r512,content_fraction
project,project_train,train/attack/digital_1/huawei/arabic-003_03.jpg,arabic-003_03,attack,digital_1,huawei,1,3023,1884,1.604564755838641,8.014004994779459,7.5411524551363085,15.555157449915766,822,42,21,21,0.9513888888888888
project,project_train,train/attack/digital_1/iphone15pro/arabic-003_03.jpg,arabic-003_03,attack,digital_1,iphone15pro,1,2619,1605,1.6317757009345795,7.870547844507712,7.380879035564116,15.251426880071827,835,29,14,15,0.9664351851851852
project,project_train,train/attack/digital_1/scan/arabic-003_03.jpg,arabic-003_03,attack,digital_1,scan,1,2001,1244,1.6085209003215435,7.601402334583733,7.126087273299125,14.727489607882859,824,40,20,20,0.9537037037037037
project,project_train,train/attack/digital_2/huawei/arabic-003_03.jpg,arabic-003_03,attack,digital_2,huawei,1,3023,1884,1.604564755838641,8.014004994779459,7.5411524551363085,15.555157449915766,822,42,21,21,0.9513888888888888
project,project_train,train/attack/digital_2/iphone15pro/arabic-003_03.jpg,arabic-003_03,attack,digital_2,iphone15pro,1,2619,1605,1.6317757009345795,7.870547844507712,7.380879035564116,15.251426880071827,835,29,14,15,0.9664351851851852
project,project_train,train/attack/digital_2/scan/arabic-003_03.jpg,arabic-003_03,attack,digital_2,scan,1,2001,1244,1.6085209003215435,7.601402334583733,7.126087273299125,14.727489607882859,824,40,20,20,0.9537037037037037
project,project_train,train/bonafide/huawei/arabic-003_03.jpg,arabic-003_03,bonafide,,huawei,0,3023,1884,1.604564755838641,8.014004994779459,7.5411524551363085,15.555157449915766,822,42,21,21,0.9513888888888888
project,project_train,train/bonafide/iphone15pro/arabic-003_03.jpg,arabic-003_03,bonafide,,iphone15pro,0,2619,1605,1.6317757009345795,7.870547844507712,7.380879035564116,15.251426880071827,835,29,14,15,0.9664351851851852
project,project_train,train/bonafide/scan/arabic-003_03.jpg,arabic-003_03,bonafide,,scan,0,2001,1244,1.6085209003215435,7.601402334583733,7.126087273299125,14.727489607882859,824,40,20,20,0.9537037037037037
project,project_train,train/attack/digital_1/huawei/arabic-005_03.jpg,arabic-005_03,attack,digital_1,huawei,1,3068,1882,1.6301806588735388,8.028781162487148,7.540090320145325,15.568871482632472,835,29,14,15,0.9664351851851852
