split,variant,file_stem,hardware_source,field_name,reason,attack_image_path,parent_image_path
project_train,digital_1,indian-012_03,scan,doe,no_face_free_512_crop,train/attack/digital_1/scan/indian-012_03.jpg,train/bonafide/scan/indian-012_03.jpg
project_train,digital_2,indian-012_03,scan,doe,no_face_free_512_crop,train/attack/digital_2/scan/indian-012_03.jpg,train/bonafide/scan/indian-012_03.jpg
project_train,digital_1,indian-037_03,iphone15pro,doe,no_face_free_512_crop,train/attack/digital_1/iphone15pro/indian-037_03.jpg,train/bonafide/iphone15pro/indian-037_03.jpg
project_train,digital_1,indian-037_03,scan,doe,no_face_free_512_crop,train/attack/digital_1/scan/indian-037_03.jpg,train/bonafide/scan/indian-037_03.jpg
project_train,digital_2,indian-037_03,iphone15pro,doe,no_face_free_512_crop,train/attack/digital_2/iphone15pro/indian-037_03.jpg,train/bonafide/iphone15pro/indian-037_03.jpg
project_train,digital_2,indian-037_03,scan,doe,no_face_free_512_crop,train/attack/digital_2/scan/indian-037_03.jpg,train/bonafide/scan/indian-037_03.jpg
project_train,digital_1,indian-038_03,scan,doe,no_face_free_512_crop,train/attack/digital_1/scan/indian-038_03.jpg,train/bonafide/scan/indian-038_03.jpg
project_train,digital_2,indian-038_03,scan,doe,no_face_free_512_crop,train/attack/digital_2/scan/indian-038_03.jpg,train/bonafide/scan/indian-038_03.jpg
project_train,digital_1,indian-094_03,scan,doe,no_face_free_512_crop,train/attack/digital_1/scan/indian-094_03.jpg,train/bonafide/scan/indian-094_03.jpg
project_train,digital_2,indian-094_03,scan,doe,no_face_free_512_crop,train/attack/digital_2/scan/indian-094_03.jpg,train/bonafide/scan/indian-094_03.jpg
project_train,digital_1,indian-108_03,scan,doe,no_face_free_512_crop,train/attack/digital_1/scan/indian-108_03.jpg,train/bonafide/scan/indian-108_03.jpg
project_train,digital_2,indian-108_03,scan,doe,no_face_free_512_crop,train/attack/digital_2/scan/indian-108_03.jpg,train/bonafide/scan/indian-108_03.jpg
project_train,digital_1,indian-NF-1006,scan,doe,no_face_free_512_crop,train/attack/digital_1/scan/indian-NF-1006.jpg,train/bonafide/scan/indian-NF-1006.jpg
project_train,digital_2,indian-NF-1006,scan,doe,no_face_free_512_crop,train/attack/digital_2/scan/indian-NF-1006.jpg,train/bonafide/scan/indian-NF-1006.jpg
project_train,digital_1,indian-NF-1025,iphone15pro,doe,no_face_free_512_crop,train/attack/digital_1/iphone15pro/indian-NF-1025.jpg,train/bonafide/iphone15pro/indian-NF-1025.jpg
project_train,digital_1,indian-NF-1025,scan,doe,no_face_free_512_crop,train/attack/digital_1/scan/indian-NF-1025.jpg,train/bonafide/scan/indian-NF-1025.jpg
project_train,digital_2,indian-NF-1025,iphone15pro,doe,no_face_free_512_crop,train/attack/digital_2/iphone15pro/indian-NF-1025.jpg,train/bonafide/iphone15pro/indian-NF-1025.jpg
project_train,digital_2,indian-NF-1025,scan,doe,no_face_free_512_crop,train/attack/digital_2/scan/indian-NF-1025.jpg,train/bonafide/scan/indian-NF-1025.jpg
project_train,digital_1,indian-NF-1039,scan,doe,no_face_free_512_crop,train/attack/digital_1/scan/indian-NF-1039.jpg,train/bonafide/scan/indian-NF-1039.jpg
project_train,digital_2,indian-NF-1039,scan,doe,no_face_free_512_crop,train/attack/digital_2/scan/indian-NF-1039.jpg,train/bonafide/scan/indian-NF-1039.jpg
project_train,digital_1,indian-NF-1075,scan,doe,no_face_free_512_crop,train/attack/digital_1/scan/indian-NF-1075.jpg,train/bonafide/scan/indian-NF-1075.jpg
project_train,digital_2,indian-NF-1075,scan,doe,no_face_free_512_crop,train/attack/digital_2/scan/indian-NF-1075.jpg,train/bonafide/scan/indian-NF-1075.jpg
project_train,digital_1,indian-NF-1096,scan,doe,no_face_free_512_crop,train/attack/digital_1/scan/indian-NF-1096.jpg,train/bonafide/scan/indian-NF-1096.jpg
project_train,digital_2,indian-NF-1096,scan,doe,no_face_free_512_crop,train/attack/digital_2/scan/indian-NF-1096.jpg,train/bonafide/scan/indian-NF-1096.jpg
project_train,digital_1,indian-NM-1058,scan,doe,no_face_free_512_crop,train/attack/digital_1/scan/indian-NM-1058.jpg,train/bonafide/scan/indian-NM-1058.jpg
project_train,digital_2,indian-NM-1058,scan,doe,no_face_free_512_crop,train/attack/digital_2/scan/indian-NM-1058.jpg,train/bonafide/scan/indian-NM-1058.jpg
project_train,digital_1,usa-009_03,scan,dob,no_face_free_512_crop,train/attack/digital_1/scan/usa-009_03.jpg,train/bonafide/scan/usa-009_03.jpg
project_train,digital_1,usa-009_03,scan,doe,no_face_free_512_crop,train/attack/digital_1/scan/usa-009_03.jpg,train/bonafide/scan/usa-009_03.jpg
project_train,digital_2,usa-009_03,scan,dob,no_face_free_512_crop,train/attack/digital_2/scan/usa-009_03.jpg,train/bonafide/scan/usa-009_03.jpg
project_train,digital_2,usa-009_03,scan,doe,no_face_free_512_crop,train/attack/digital_2/scan/usa-009_03.jpg,train/bonafide/scan/usa-009_03.jpg
project_train,digital_1,usa-011_03,scan,dob,no_face_free_512_crop,train/attack/digital_1/scan/usa-011_03.jpg,train/bonafide/scan/usa-011_03.jpg
project_train,digital_1,usa-011_03,scan,doe,no_face_free_512_crop,train/attack/digital_1/scan/usa-011_03.jpg,train/bonafide/scan/usa-011_03.jpg
project_train,digital_2,usa-011_03,scan,dob,no_face_free_512_crop,train/attack/digital_2/scan/usa-011_03.jpg,train/bonafide/scan/usa-011_03.jpg
project_train,digital_2,usa-011_03,scan,doe,no_face_free_512_crop,train/attack/digital_2/scan/usa-011_03.jpg,train/bonafide/scan/usa-011_03.jpg
project_train,digital_1,usa-016_03,scan,dob,no_face_free_512_crop,train/attack/digital_1/scan/usa-016_03.jpg,train/bonafide/scan/usa-016_03.jpg
project_train,digital_1,usa-016_03,scan,doe,no_face_free_512_crop,train/attack/digital_1/scan/usa-016_03.jpg,train/bonafide/scan/usa-016_03.jpg
project_train,digital_2,usa-016_03,scan,dob,no_face_free_512_crop,train/attack/digital_2/scan/usa-016_03.jpg,train/bonafide/scan/usa-016_03.jpg
project_train,digital_2,usa-016_03,scan,doe,no_face_free_512_crop,train/attack/digital_2/scan/usa-016_03.jpg,train/bonafide/scan/usa-016_03.jpg
project_train,digital_1,usa-043_03,scan,dob,no_face_free_512_crop,train/attack/digital_1/scan/usa-043_03.jpg,train/bonafide/scan/usa-043_03.jpg
project_train,digital_1,usa-043_03,scan,doe,no_face_free_512_crop,train/attack/digital_1/scan/usa-043_03.jpg,train/bonafide/scan/usa-043_03.jpg
project_train,digital_2,usa-043_03,scan,dob,no_face_free_512_crop,train/attack/digital_2/scan/usa-043_03.jpg,train/bonafide/scan/usa-043_03.jpg
project_train,digital_2,usa-043_03,scan,doe,no_face_free_512_crop,train/attack/digital_2/scan/usa-043_03.jpg,train/bonafide/scan/usa-043_03.jpg
project_train,digital_1,usa-063_03,scan,dob,no_face_free_512_crop,train/attack/digital_1/scan/usa-063_03.jpg,train/bonafide/scan/usa-063_03.jpg
project_train,digital_1,usa-063_03,scan,doe,no_face_free_512_crop,train/attack/digital_1/scan/usa-063_03.jpg,train/bonafide/scan/usa-063_03.jpg
project_train,digital_2,usa-063_03,scan,dob,no_face_free_512_crop,train/attack/digital_2/scan/usa-063_03.jpg,train/bonafide/scan/usa-063_03.jpg
