image_path,file_stem,traffic_type,variant,hardware_source,field_name,reason
test/attack/digital_3/iphone15pro/indian-01_0082_000-1b935c0e_0.jpg,indian-01_0082_000-1b935c0e_0,attack,digital_3,iphone15pro,doe,no_face_free_512_crop
test/attack/digital_3/iphone15pro/indian-037_03.jpg,indian-037_03,attack,digital_3,iphone15pro,doe,no_face_free_512_crop
test/attack/digital_3/iphone15pro/indian-NF-1025.jpg,indian-NF-1025,attack,digital_3,iphone15pro,doe,no_face_free_512_crop
test/attack/digital_3/iphone15pro/usa-067_03.jpg,usa-067_03,attack,digital_3,iphone15pro,doe,no_face_free_512_crop
test/attack/digital_3/iphone15pro/usa-NF-1065.jpg,usa-NF-1065,attack,digital_3,iphone15pro,doe,no_face_free_512_crop
test/attack/digital_3/iphone15pro/usa-NF-1093.jpg,usa-NF-1093,attack,digital_3,iphone15pro,doe,no_face_free_512_crop
test/attack/digital_3/iphone15pro/usa-NM-1038.jpg,usa-NM-1038,attack,digital_3,iphone15pro,doe,no_face_free_512_crop
test/attack/digital_3/scan/indian-012_03.jpg,indian-012_03,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/indian-014_03.jpg,indian-014_03,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/indian-01_0004_000-2423feb1_0.jpg,indian-01_0004_000-2423feb1_0,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/indian-01_0005_000-59069fdd_1.jpg,indian-01_0005_000-59069fdd_1,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/indian-01_0062_000-c236043f_0.jpg,indian-01_0062_000-c236043f_0,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/indian-01_0068_000-1b9539d8_0.jpg,indian-01_0068_000-1b9539d8_0,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/indian-01_0071_000-73870eac_1.jpg,indian-01_0071_000-73870eac_1,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/indian-01_0082_000-1b935c0e_0.jpg,indian-01_0082_000-1b935c0e_0,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/indian-01_0087_000-7edaffe9_0.jpg,indian-01_0087_000-7edaffe9_0,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/indian-01_0089_000-f38cdec4_1.jpg,indian-01_0089_000-f38cdec4_1,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/indian-01_0097_000-b71b0c19_0.jpg,indian-01_0097_000-b71b0c19_0,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/indian-021_03.jpg,indian-021_03,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/indian-037_03.jpg,indian-037_03,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/indian-038_03.jpg,indian-038_03,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/indian-094_03.jpg,indian-094_03,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/indian-108_03.jpg,indian-108_03,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/indian-NF-1006.jpg,indian-NF-1006,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/indian-NF-1025.jpg,indian-NF-1025,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/indian-NF-1039.jpg,indian-NF-1039,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/indian-NF-1061.jpg,indian-NF-1061,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/indian-NF-1075.jpg,indian-NF-1075,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/indian-NF-1096.jpg,indian-NF-1096,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/indian-NM-1058.jpg,indian-NM-1058,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/usa-009_03.jpg,usa-009_03,attack,digital_3,scan,dob,no_face_free_512_crop
test/attack/digital_3/scan/usa-009_03.jpg,usa-009_03,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/usa-011_03.jpg,usa-011_03,attack,digital_3,scan,dob,no_face_free_512_crop
test/attack/digital_3/scan/usa-011_03.jpg,usa-011_03,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/usa-016_03.jpg,usa-016_03,attack,digital_3,scan,dob,no_face_free_512_crop
test/attack/digital_3/scan/usa-016_03.jpg,usa-016_03,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/usa-01_0038_000-0ee87df5_0.jpg,usa-01_0038_000-0ee87df5_0,attack,digital_3,scan,dob,no_face_free_512_crop
test/attack/digital_3/scan/usa-01_0038_000-0ee87df5_0.jpg,usa-01_0038_000-0ee87df5_0,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/usa-01_0080_000-0c832328_1.jpg,usa-01_0080_000-0c832328_1,attack,digital_3,scan,dob,no_face_free_512_crop
test/attack/digital_3/scan/usa-01_0080_000-0c832328_1.jpg,usa-01_0080_000-0c832328_1,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/usa-034_03.jpg,usa-034_03,attack,digital_3,scan,dob,no_face_free_512_crop
test/attack/digital_3/scan/usa-034_03.jpg,usa-034_03,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/usa-043_03.jpg,usa-043_03,attack,digital_3,scan,dob,no_face_free_512_crop
test/attack/digital_3/scan/usa-043_03.jpg,usa-043_03,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/usa-063_03.jpg,usa-063_03,attack,digital_3,scan,dob,no_face_free_512_crop
test/attack/digital_3/scan/usa-063_03.jpg,usa-063_03,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/usa-067_03.jpg,usa-067_03,attack,digital_3,scan,dob,no_face_free_512_crop
test/attack/digital_3/scan/usa-067_03.jpg,usa-067_03,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/usa-117_03.jpg,usa-117_03,attack,digital_3,scan,dob,no_face_free_512_crop
test/attack/digital_3/scan/usa-117_03.jpg,usa-117_03,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/usa-134_03.jpg,usa-134_03,attack,digital_3,scan,dob,no_face_free_512_crop
test/attack/digital_3/scan/usa-134_03.jpg,usa-134_03,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/usa-136_03.jpg,usa-136_03,attack,digital_3,scan,dob,no_face_free_512_crop
test/attack/digital_3/scan/usa-136_03.jpg,usa-136_03,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/usa-137_03.jpg,usa-137_03,attack,digital_3,scan,dob,no_face_free_512_crop
test/attack/digital_3/scan/usa-137_03.jpg,usa-137_03,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/usa-NF-1004.jpg,usa-NF-1004,attack,digital_3,scan,dob,no_face_free_512_crop
test/attack/digital_3/scan/usa-NF-1004.jpg,usa-NF-1004,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/usa-NF-1009.jpg,usa-NF-1009,attack,digital_3,scan,dob,no_face_free_512_crop
test/attack/digital_3/scan/usa-NF-1009.jpg,usa-NF-1009,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/usa-NF-1017.jpg,usa-NF-1017,attack,digital_3,scan,dob,no_face_free_512_crop
test/attack/digital_3/scan/usa-NF-1017.jpg,usa-NF-1017,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/usa-NF-1036.jpg,usa-NF-1036,attack,digital_3,scan,dob,no_face_free_512_crop
test/attack/digital_3/scan/usa-NF-1036.jpg,usa-NF-1036,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/usa-NF-1044.jpg,usa-NF-1044,attack,digital_3,scan,dob,no_face_free_512_crop
test/attack/digital_3/scan/usa-NF-1044.jpg,usa-NF-1044,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/usa-NF-1046.jpg,usa-NF-1046,attack,digital_3,scan,dob,no_face_free_512_crop
test/attack/digital_3/scan/usa-NF-1046.jpg,usa-NF-1046,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/usa-NF-1051.jpg,usa-NF-1051,attack,digital_3,scan,dob,no_face_free_512_crop
test/attack/digital_3/scan/usa-NF-1051.jpg,usa-NF-1051,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/usa-NF-1062.jpg,usa-NF-1062,attack,digital_3,scan,dob,no_face_free_512_crop
test/attack/digital_3/scan/usa-NF-1062.jpg,usa-NF-1062,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/usa-NF-1065.jpg,usa-NF-1065,attack,digital_3,scan,dob,no_face_free_512_crop
test/attack/digital_3/scan/usa-NF-1065.jpg,usa-NF-1065,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/usa-NF-1071.jpg,usa-NF-1071,attack,digital_3,scan,dob,no_face_free_512_crop
test/attack/digital_3/scan/usa-NF-1071.jpg,usa-NF-1071,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/usa-NF-1076.jpg,usa-NF-1076,attack,digital_3,scan,dob,no_face_free_512_crop
test/attack/digital_3/scan/usa-NF-1076.jpg,usa-NF-1076,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/usa-NF-1093.jpg,usa-NF-1093,attack,digital_3,scan,dob,no_face_free_512_crop
test/attack/digital_3/scan/usa-NF-1093.jpg,usa-NF-1093,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/usa-NF-1094.jpg,usa-NF-1094,attack,digital_3,scan,dob,no_face_free_512_crop
test/attack/digital_3/scan/usa-NF-1094.jpg,usa-NF-1094,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/usa-NM-1038.jpg,usa-NM-1038,attack,digital_3,scan,dob,no_face_free_512_crop
test/attack/digital_3/scan/usa-NM-1038.jpg,usa-NM-1038,attack,digital_3,scan,doe,no_face_free_512_crop
test/attack/digital_3/scan/usa-NM-1052.jpg,usa-NM-1052,attack,digital_3,scan,dob,no_face_free_512_crop
test/attack/digital_3/scan/usa-NM-1052.jpg,usa-NM-1052,attack,digital_3,scan,doe,no_face_free_512_crop
