image_path,cache_path,file_stem,traffic_type,variant,hardware_source,label,assigned_q,source_sha256,cache_sha256
test/bonafide/huawei/chinese2-flickr_F_16745558933_a3f9fe2bc9_k.jpg,data/processed/policy_c_official_test/test/bonafide/huawei/chinese2-flickr_F_16745558933_a3f9fe2bc9_k.jpg,chinese2-flickr_F_16745558933_a3f9fe2bc9_k,bonafide,,huawei,0,75,63cc450e5c80af7d1536fbd3a01ad78617ebe8ad85166b150388d3b71eee3bd2,70670c1dcd8555e91bec795c852102a5d35fc30595d0a838d3a741adc8d1a7d0
test/bonafide/huawei/chinese2-flickr_F_16858102101_d4c5c1e7a2_c.jpg,data/processed/policy_c_official_test/test/bonafide/huawei/chinese2-flickr_F_16858102101_d4c5c1e7a2_c.jpg,chinese2-flickr_F_16858102101_d4c5c1e7a2_c,bonafide,,huawei,0,83,63cb30fc0decc6d9b11749b74dab49118556064caf8d49dae2ca31058f0b9c0a,b34d0fc7a9c05f1d40ae5ee834f276edde26778725b2f15045b653bf621aa6bd
test/bonafide/huawei/chinese2-flickr_F_17178039488_60828ef8de_k.jpg,data/processed/policy_c_official_test/test/bonafide/huawei/chinese2-flickr_F_17178039488_60828ef8de_k.jpg,chinese2-flickr_F_17178039488_60828ef8de_k,bonafide,,huawei,0,81,f005e265b8e2bd82eff6145b0060713629c0d3b2793785584e260e35bde07a77,2e107140792fa62b5c26e511938ab98ec2765febebdac0313b4db26a39da3268
test/bonafide/huawei/chinese2-flickr_F_17619703551_9705002b22_b.jpg,data/processed/policy_c_official_test/test/bonafide/huawei/chinese2-flickr_F_17619703551_9705002b22_b.jpg,chinese2-flickr_F_17619703551_9705002b22_b,bonafide,,huawei,0,57,8ebbe7afcfe83f3ae3fab11ff25a407e7122b5e65bf468bf954021e162ce129d,b54dd45c905c9d5f76f009bc6ad9916d7cf10b0282680af6c956e5b05d96fa92
test/bonafide/huawei/chinese2-flickr_F_17773666675_1bdbd28a62_c.jpg,data/processed/policy_c_official_test/test/bonafide/huawei/chinese2-flickr_F_17773666675_1bdbd28a62_c.jpg,chinese2-flickr_F_17773666675_1bdbd28a62_c,bonafide,,huawei,0,57,569095ed5e0e00a5cf70349e0b7d63d81663ee33c71cd8331ce134877f5f21cb,a5e324eefb5c3152480763a78207ef347202636d84e949a3e7e188c1f2499993
test/bonafide/huawei/chinese2-flickr_F_21668538829_2fb67bd5fd_c.jpg,data/processed/policy_c_official_test/test/bonafide/huawei/chinese2-flickr_F_21668538829_2fb67bd5fd_c.jpg,chinese2-flickr_F_21668538829_2fb67bd5fd_c,bonafide,,huawei,0,51,e39ef89c6b8361bc410401201a3e9e0a7a9bda9507c4e05a0b04e65ae2746e72,eb7c98a10a51e36a2a3f5a46549f6564ad0e97415eca9789aa1a1d26f4d180bd
test/bonafide/huawei/chinese2-flickr_F_21696826019_7407a3bea0_k.jpg,data/processed/policy_c_official_test/test/bonafide/huawei/chinese2-flickr_F_21696826019_7407a3bea0_k.jpg,chinese2-flickr_F_21696826019_7407a3bea0_k,bonafide,,huawei,0,89,d04dba6ca4256a2b3fdccab8709765e269341902630153d1f2a64678ee3e2624,381e93af37bbaeb9b5c86e027ed18cf8ed009bacfcfe8a73e6bab8d49a9de186
test/bonafide/huawei/chinese2-flickr_F_25164779518_a723fab6b8_o.jpg,data/processed/policy_c_official_test/test/bonafide/huawei/chinese2-flickr_F_25164779518_a723fab6b8_o.jpg,chinese2-flickr_F_25164779518_a723fab6b8_o,bonafide,,huawei,0,61,9999863aa841a962b1f0af1306bf2ed1be27ff2db98e90976cefa877319174f0,116e12aed92d1fc7ccf66e08b1c48b7771a221c0327ba76196b8b29075bc9b12
test/bonafide/huawei/chinese2-flickr_F_25164805428_423bc49285_o.jpg,data/processed/policy_c_official_test/test/bonafide/huawei/chinese2-flickr_F_25164805428_423bc49285_o.jpg,chinese2-flickr_F_25164805428_423bc49285_o,bonafide,,huawei,0,84,1fa6b4ee377f218f56b069c749f18bf6e79cf8a639e6eb9f96bb196ee8930b3a,5aba8b406143de1ec49ee4bf01c755d0dd4d2bac0452dd96f0288067753f317f
test/bonafide/huawei/chinese2-flickr_F_30990251270_6801e68759_c.jpg,data/processed/policy_c_official_test/test/bonafide/huawei/chinese2-flickr_F_30990251270_6801e68759_c.jpg,chinese2-flickr_F_30990251270_6801e68759_c,bonafide,,huawei,0,90,fd2358bb6616501e94202d3ba835603551f7fa76bf9efb6274f6cc1c3d65f623,fd26308babd3e37bc14e22ea7176faaceff981c0d9d4a8a8a9ebbfb08b23b7ff
test/bonafide/huawei/chinese2-flickr_F_31196390972_be24a6067c_k.jpg,data/processed/policy_c_official_test/test/bonafide/huawei/chinese2-flickr_F_31196390972_be24a6067c_k.jpg,chinese2-flickr_F_31196390972_be24a6067c_k,bonafide,,huawei,0,53,2d20f37fa136f0c4c6df32e64f84ddcc640ebcfa0301f7f4194409fa4768d4b5,f7d6897344dc17e294c3a5f9a0a45e0969a96d68b7d9cbc7107515c9f2273ea2
test/bonafide/huawei/chinese2-flickr_F_31226153591_900ef17f37_k.jpg,data/processed/policy_c_official_test/test/bonafide/huawei/chinese2-flickr_F_31226153591_900ef17f37_k.jpg,chinese2-flickr_F_31226153591_900ef17f37_k,bonafide,,huawei,0,51,d020fb06fe055b20ec8849749c796debc856acc1dab5e0d431c8ea56f431d35b,5488228d5a500587371dbedc8210ab7f810b9cb8ccaaa31328f34bed090fb936
test/bonafide/huawei/chinese2-flickr_F_31998401683_5272a75c42_c.jpg,data/processed/policy_c_official_test/test/bonafide/huawei/chinese2-flickr_F_31998401683_5272a75c42_c.jpg,chinese2-flickr_F_31998401683_5272a75c42_c,bonafide,,huawei,0,60,748c726f777fc5210708c256e28602f8814604d4d8a6fa97d6c96a6a3ade4bb4,1f9c3d1cd017a7ec864fc9b7f6d31b32b898ddd5354559a9bc19ee068eb4be93
test/bonafide/huawei/chinese2-flickr_F_31998955273_5516f4db28_h.jpg,data/processed/policy_c_official_test/test/bonafide/huawei/chinese2-flickr_F_31998955273_5516f4db28_h.jpg,chinese2-flickr_F_31998955273_5516f4db28_h,bonafide,,huawei,0,71,749bc447eef3ee09d4e6ff10797201cf175df106f6290e37534193ea65bbd4ef,cb96097a5ff83a003487c500ef0e1385a0bda6eb6c530cbe80637fab5064f923
test/bonafide/huawei/chinese2-flickr_F_32689517821_bfacb0e1ba_h.jpg,data/processed/policy_c_official_test/test/bonafide/huawei/chinese2-flickr_F_32689517821_bfacb0e1ba_h.jpg,chinese2-flickr_F_32689517821_bfacb0e1ba_h,bonafide,,huawei,0,81,ff6e37f4e83344c50996163a2747b9adea05a9d999f219a59822596d825e2d9c,a192124ddba155e84de01f87766c3284bd0744a71c77430e028926af5deee5ab
test/bonafide/huawei/chinese2-flickr_F_33552328531_f6d5dd17b8_c.jpg,data/processed/policy_c_official_test/test/bonafide/huawei/chinese2-flickr_F_33552328531_f6d5dd17b8_c.jpg,chinese2-flickr_F_33552328531_f6d5dd17b8_c,bonafide,,huawei,0,90,669129468d6b53cca72d0e6e3e532166e119685af463429d85a4345d48c2780b,d687434309a3b8933cf813cec8cb46789a4819b28ffaee0141e4f181759a5904
test/bonafide/huawei/chinese2-flickr_F_39035705701_833f3da9bf_o.jpg,data/processed/policy_c_official_test/test/bonafide/huawei/chinese2-flickr_F_39035705701_833f3da9bf_o.jpg,chinese2-flickr_F_39035705701_833f3da9bf_o,bonafide,,huawei,0,88,9f488eddc182dda58be9c4a3ce970a36fac1fa4b70677f7c2e8db208037ddb48,e292d5602261be2923016b9ad51baf0d0d8c1222d3b86ab44ed6cce4bd52cb11
test/bonafide/huawei/chinese2-flickr_F_40837237721_dedac367d4_c.jpg,data/processed/policy_c_official_test/test/bonafide/huawei/chinese2-flickr_F_40837237721_dedac367d4_c.jpg,chinese2-flickr_F_40837237721_dedac367d4_c,bonafide,,huawei,0,72,039fcdf751fe2ef84006e120781e9c01e79a4d0fbf700967410734ed6da93267,25a0592949cf6b0afc49dada9b699f8867f6bcd0d48f2f3dff029c0e0a78bc32
test/bonafide/huawei/chinese2-flickr_F_48677929383_2cdc743f43_c.jpg,data/processed/policy_c_official_test/test/bonafide/huawei/chinese2-flickr_F_48677929383_2cdc743f43_c.jpg,chinese2-flickr_F_48677929383_2cdc743f43_c,bonafide,,huawei,0,53,384deb580c2020def578e48bbdb35badbf3085e5dd22aa42a6ba27cad645c7c4,5b6a6d9ef85499228d4ffc696f7d1c369ee18f576babf0b0c606f6f173210414
test/bonafide/huawei/chinese2-flickr_M_16743317854_732a16acc8_k.jpg,data/processed/policy_c_official_test/test/bonafide/huawei/chinese2-flickr_M_16743317854_732a16acc8_k.jpg,chinese2-flickr_M_16743317854_732a16acc8_k,bonafide,,huawei,0,62,f4daf4824e8b600adf449d321b98ebdacd000d4b7f97cd239085666d711c5907,879db61aabac95b958ac5eb84bf7be742fb8825b49a1b668d98802e63494a5a4
