image_path,file_stem,hardware_source,digital3_width,digital3_height,digital3_content_width,digital3_pad,split,parent_width,parent_height,parent_content_width,parent_pad,native_dimensions_match,r512_content_width_match,padding_match
test/attack/digital_3/huawei/arabic-003_03.jpg,arabic-003_03,huawei,3023,1884,822,42,project_train,3023,1884,822,42,True,True,True
test/attack/digital_3/huawei/arabic-005_03.jpg,arabic-005_03,huawei,3068,1882,835,29,project_train,3068,1882,835,29,True,True,True
test/attack/digital_3/huawei/arabic-024_03.jpg,arabic-024_03,huawei,3211,1971,834,30,dev_val,3211,1971,834,30,True,True,True
test/attack/digital_3/huawei/arabic-112_03.jpg,arabic-112_03,huawei,3186,1977,825,39,project_train,3186,1977,825,39,True,True,True
test/attack/digital_3/huawei/arabic-120_03.jpg,arabic-120_03,huawei,3181,1964,829,35,dev_val,3181,1964,829,35,True,True,True
test/attack/digital_3/huawei/arabic-131_03.jpg,arabic-131_03,huawei,3175,1963,828,36,project_train,3175,1963,828,36,True,True,True
test/attack/digital_3/huawei/arabic-139_03.jpg,arabic-139_03,huawei,3034,1879,827,37,project_train,3034,1879,827,37,True,True,True
test/attack/digital_3/huawei/arabic-173_03.jpg,arabic-173_03,huawei,3208,1986,827,37,project_train,3208,1986,827,37,True,True,True
test/attack/digital_3/huawei/arabic-NF-1003.jpg,arabic-NF-1003,huawei,3190,1963,832,32,project_train,3190,1963,832,32,True,True,True
test/attack/digital_3/huawei/arabic-NF-1012.jpg,arabic-NF-1012,huawei,3183,1965,829,35,project_train,3183,1965,829,35,True,True,True
test/attack/digital_3/huawei/arabic-NF-1030.jpg,arabic-NF-1030,huawei,3181,1962,830,34,project_train,3181,1962,830,34,True,True,True
test/attack/digital_3/huawei/arabic-NF-1037.jpg,arabic-NF-1037,huawei,3033,1889,822,42,project_train,3033,1889,822,42,True,True,True
test/attack/digital_3/huawei/arabic-NF-1040.jpg,arabic-NF-1040,huawei,3192,1969,830,34,project_train,3192,1969,830,34,True,True,True
test/attack/digital_3/huawei/arabic-NF-1045.jpg,arabic-NF-1045,huawei,3183,1977,824,40,project_train,3183,1977,824,40,True,True,True
test/attack/digital_3/huawei/arabic-NF-1048.jpg,arabic-NF-1048,huawei,3045,1891,824,40,dev_val,3045,1891,824,40,True,True,True
test/attack/digital_3/huawei/arabic-NF-1049.jpg,arabic-NF-1049,huawei,3184,1964,830,34,project_train,3184,1964,830,34,True,True,True
test/attack/digital_3/huawei/arabic-NF-1053.jpg,arabic-NF-1053,huawei,3187,1964,831,33,project_train,3187,1964,831,33,True,True,True
test/attack/digital_3/huawei/arabic-NF-1098.jpg,arabic-NF-1098,huawei,3037,1894,821,43,dev_val,3037,1894,821,43,True,True,True
test/attack/digital_3/huawei/arabic-NF-1100.jpg,arabic-NF-1100,huawei,3192,1972,829,35,project_train,3192,1972,829,35,True,True,True
test/attack/digital_3/huawei/arabic-NM-1029.jpg,arabic-NM-1029,huawei,3197,1977,828,36,project_train,3197,1977,828,36,True,True,True
test/attack/digital_3/huawei/arabic-NM-1064.jpg,arabic-NM-1064,huawei,3193,1976,827,37,project_train,3193,1976,827,37,True,True,True
test/attack/digital_3/huawei/arabic-NM-1090.jpg,arabic-NM-1090,huawei,3189,1973,828,36,dev_val,3189,1973,828,36,True,True,True
test/attack/digital_3/huawei/chinese-001_03.jpg,chinese-001_03,huawei,3193,1962,833,31,dev_val,3193,1962,833,31,True,True,True
test/attack/digital_3/huawei/chinese-018_03.jpg,chinese-018_03,huawei,3189,1971,828,36,project_train,3189,1971,828,36,True,True,True
test/attack/digital_3/huawei/chinese-020_03.jpg,chinese-020_03,huawei,3188,1968,829,35,project_train,3188,1968,829,35,True,True,True
test/attack/digital_3/huawei/chinese-039_03.jpg,chinese-039_03,huawei,3190,1968,830,34,project_train,3190,1968,830,34,True,True,True
test/attack/digital_3/huawei/chinese-064_03.jpg,chinese-064_03,huawei,3225,1971,838,26,project_train,3225,1971,838,26,True,True,True
test/attack/digital_3/huawei/chinese-081_03.jpg,chinese-081_03,huawei,3214,1967,837,27,project_train,3214,1967,837,27,True,True,True
test/attack/digital_3/huawei/chinese-096_03.jpg,chinese-096_03,huawei,3178,1974,824,40,project_train,3178,1974,824,40,True,True,True
test/attack/digital_3/huawei/chinese-099_03.jpg,chinese-099_03,huawei,3197,1959,836,28,project_train,3197,1959,836,28,True,True,True
test/attack/digital_3/huawei/chinese-102_03.jpg,chinese-102_03,huawei,3196,1974,829,35,project_train,3196,1974,829,35,True,True,True
test/attack/digital_3/huawei/chinese-107_03.jpg,chinese-107_03,huawei,3213,1999,823,41,project_train,3213,1999,823,41,True,True,True
