patch_id,image_path,file_stem,traffic_type,variant,hardware_source,label,assigned_q,field_name,patch_path,crop_x0,crop_y0,crop_x1,crop_y1,annotation_x0,annotation_y0,annotation_x1,annotation_y1,annotation_source,annotation_source_image_path,annotation_source_variant,annotation_provenance,face_overlap_pixels
ee76b84d90c1e1762e93621e,test/attack/digital_3/huawei/arabic-003_03.jpg,arabic-003_03,attack,digital_3,huawei,1,59,dob,data/processed/text_patch512_official/digital_3/huawei/ee76b84d90c1e1762e93621e.png,1142,964,1654,1476,1107,1162,1689,1278,self_original,test/attack/digital_3/huawei/arabic-003_03.jpg,digital_3,original_only,0
8e44457dccfc619e4d11dff5,test/attack/digital_3/huawei/arabic-003_03.jpg,arabic-003_03,attack,digital_3,huawei,1,59,doe,data/processed/text_patch512_official/digital_3/huawei/8e44457dccfc619e4d11dff5.png,1162,1372,1674,1884,1121,1655,1714,1771,self_original,test/attack/digital_3/huawei/arabic-003_03.jpg,digital_3,original_only,0
4fae8f657c56ab33e0567a76,test/attack/digital_3/huawei/arabic-003_03.jpg,arabic-003_03,attack,digital_3,huawei,1,59,name,data/processed/text_patch512_official/digital_3/huawei/4fae8f657c56ab33e0567a76.png,1210,496,1722,1008,1097,696,1836,809,self_original,test/attack/digital_3/huawei/arabic-003_03.jpg,digital_3,original_only,0
fda20e7c1f97ce168c489f7f,test/attack/digital_3/huawei/arabic-005_03.jpg,arabic-005_03,attack,digital_3,huawei,1,90,dob,data/processed/text_patch512_official/digital_3/huawei/fda20e7c1f97ce168c489f7f.png,1142,974,1654,1486,1102,1171,1693,1289,self_original,test/attack/digital_3/huawei/arabic-005_03.jpg,digital_3,original_only,0
595ac4e6227137f28c76959e,test/attack/digital_3/huawei/arabic-005_03.jpg,arabic-005_03,attack,digital_3,huawei,1,90,doe,data/processed/text_patch512_official/digital_3/huawei/595ac4e6227137f28c76959e.png,1141,1370,1653,1882,1118,1671,1676,1789,self_original,test/attack/digital_3/huawei/arabic-005_03.jpg,digital_3,original_only,0
e98b96e5dbdc064e0b9339ec,test/attack/digital_3/huawei/arabic-005_03.jpg,arabic-005_03,attack,digital_3,huawei,1,90,name,data/processed/text_patch512_official/digital_3/huawei/e98b96e5dbdc064e0b9339ec.png,1198,504,1710,1016,1088,701,1819,819,self_original,test/attack/digital_3/huawei/arabic-005_03.jpg,digital_3,original_only,0
85ce85b333e86b230456b390,test/attack/digital_3/huawei/arabic-01_0002_000-c7338db1_1.jpg,arabic-01_0002_000-c7338db1_1,attack,digital_3,huawei,1,55,dob,data/processed/text_patch512_official/digital_3/huawei/85ce85b333e86b230456b390.png,1168,1036,1680,1548,1129,1221,1719,1362,self_original,test/attack/digital_3/huawei/arabic-01_0002_000-c7338db1_1.jpg,digital_3,original_only,0
b2f190c7641842d123cfd0dc,test/attack/digital_3/huawei/arabic-01_0002_000-c7338db1_1.jpg,arabic-01_0002_000-c7338db1_1,attack,digital_3,huawei,1,55,doe,data/processed/text_patch512_official/digital_3/huawei/b2f190c7641842d123cfd0dc.png,1162,1501,1674,2013,1109,1754,1728,1900,self_original,test/attack/digital_3/huawei/arabic-01_0002_000-c7338db1_1.jpg,digital_3,original_only,0
177a2972e2141de9fa84e74b,test/attack/digital_3/huawei/arabic-01_0002_000-c7338db1_1.jpg,arabic-01_0002_000-c7338db1_1,attack,digital_3,huawei,1,55,name,data/processed/text_patch512_official/digital_3/huawei/177a2972e2141de9fa84e74b.png,1262,538,1774,1050,1146,723,1889,864,self_original,test/attack/digital_3/huawei/arabic-01_0002_000-c7338db1_1.jpg,digital_3,original_only,0
e390a088be0325de62b339e1,test/attack/digital_3/huawei/arabic-01_0076_000-fd5000df_1.jpg,arabic-01_0076_000-fd5000df_1,attack,digital_3,huawei,1,51,dob,data/processed/text_patch512_official/digital_3/huawei/e390a088be0325de62b339e1.png,1209,1030,1721,1542,1149,1218,1781,1353,self_original,test/attack/digital_3/huawei/arabic-01_0076_000-fd5000df_1.jpg,digital_3,original_only,0
616b27223034e1f546daa8f9,test/attack/digital_3/huawei/arabic-01_0076_000-fd5000df_1.jpg,arabic-01_0076_000-fd5000df_1,attack,digital_3,huawei,1,51,doe,data/processed/text_patch512_official/digital_3/huawei/616b27223034e1f546daa8f9.png,1206,1464,1718,1976,1141,1741,1784,1878,self_original,test/attack/digital_3/huawei/arabic-01_0076_000-fd5000df_1.jpg,digital_3,original_only,0
3a03b512d1cd60b589b86b8b,test/attack/digital_3/huawei/arabic-01_0076_000-fd5000df_1.jpg,arabic-01_0076_000-fd5000df_1,attack,digital_3,huawei,1,51,name,data/processed/text_patch512_official/digital_3/huawei/3a03b512d1cd60b589b86b8b.png,1278,540,1790,1052,1161,727,1908,864,self_original,test/attack/digital_3/huawei/arabic-01_0076_000-fd5000df_1.jpg,digital_3,original_only,0
e679e35376a5a558431a02c4,test/attack/digital_3/huawei/arabic-01_0095_000-18471808_1.jpg,arabic-01_0095_000-18471808_1,attack,digital_3,huawei,1,65,dob,data/processed/text_patch512_official/digital_3/huawei/e679e35376a5a558431a02c4.png,1212,1036,1724,1548,1158,1224,1777,1360,self_original,test/attack/digital_3/huawei/arabic-01_0095_000-18471808_1.jpg,digital_3,original_only,0
677f93fa296c2b9f2c9685fe,test/attack/digital_3/huawei/arabic-01_0095_000-18471808_1.jpg,arabic-01_0095_000-18471808_1,attack,digital_3,huawei,1,65,doe,data/processed/text_patch512_official/digital_3/huawei/677f93fa296c2b9f2c9685fe.png,1198,1459,1710,1971,1144,1740,1763,1874,self_original,test/attack/digital_3/huawei/arabic-01_0095_000-18471808_1.jpg,digital_3,original_only,0
34fac797726c2c56ed6253b0,test/attack/digital_3/huawei/arabic-01_0095_000-18471808_1.jpg,arabic-01_0095_000-18471808_1,attack,digital_3,huawei,1,65,name,data/processed/text_patch512_official/digital_3/huawei/34fac797726c2c56ed6253b0.png,1290,544,1802,1056,1170,730,1923,869,self_original,test/attack/digital_3/huawei/arabic-01_0095_000-18471808_1.jpg,digital_3,original_only,0
6fd32074a6edb4e24245e485,test/attack/digital_3/huawei/arabic-024_03.jpg,arabic-024_03,attack,digital_3,huawei,1,78,dob,data/processed/text_patch512_official/digital_3/huawei/6fd32074a6edb4e24245e485.png,1202,1036,1714,1548,1148,1219,1769,1365,self_original,test/attack/digital_3/huawei/arabic-024_03.jpg,digital_3,original_only,0
859990aa3892059a70821072,test/attack/digital_3/huawei/arabic-024_03.jpg,arabic-024_03,attack,digital_3,huawei,1,78,doe,data/processed/text_patch512_official/digital_3/huawei/859990aa3892059a70821072.png,1194,1459,1706,1971,1136,1752,1763,1904,self_original,test/attack/digital_3/huawei/arabic-024_03.jpg,digital_3,original_only,0
